compas_screening_date,S1,age,S2,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_offense_date,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,is_violent_recid,decile_score_1,score_text,screening_date,v_decile_score,v_score_text,v_screening_date,in_custody,out_custody,priors_count_2,start,end,event,Class
20130814,1,69,5,0,1,0,0,0,-1,2.01308E+11,2.01308E+11,20130813,1,0,0,2,0,1,1,20130814,1,1,20130814,20140707,20140714,0,0,327,0,inlier
20130113,1,23,0,0,8,1,0,1,-1,2.01304E+11,2.01304E+11,20130112,1,0,0,1,0,8,0,20130113,6,2,20130113,20130616,20130616,1,0,1174,0,inlier
20130326,1,43,5,0,1,0,0,2,-1,2.01304E+11,2.01304E+11,20130112,76,0,0,1,0,1,1,20130326,1,1,20130326,20130616,20130616,2,0,1102,0,inlier
20131130,1,44,5,0,1,0,0,0,0,2.01311E+11,2.01312E+11,20131130,0,1,0,1,0,1,1,20131130,1,1,20131130,20131130,20131201,0,1,853,0,inlier
20130830,1,43,5,0,4,0,0,3,-1,2.01308E+11,2.01308E+11,20140218,1,0,0,4,0,4,1,20130830,3,1,20130830,20140522,20140603,3,0,265,0,inlier
20140316,0,39,2,0,1,0,0,0,-1,2.01403E+11,2.01403E+11,20140315,1,1,0,4,0,1,1,20140316,1,1,20140316,20140315,20140318,0,2,747,0,inlier
20131126,1,27,2,0,4,0,0,0,-1,2.01311E+11,2.01311E+11,20131125,1,0,0,5,0,4,1,20131126,4,1,20131126,20131125,20131126,0,0,857,0,inlier
20130101,0,37,2,0,1,0,0,0,0,2.01301E+11,2.01301E+11,20130101,0,1,0,2,0,1,1,20130101,1,1,20130101,20130101,20130102,0,1,1186,0,inlier
20131009,1,41,0,0,4,0,0,0,-1,2.0131E+11,2.0131E+11,20131008,1,0,0,2,0,4,1,20131009,2,1,20131009,20131008,20131009,0,0,905,0,inlier
20140324,1,37,3,0,1,0,0,0,0,2.01403E+11,2.01403E+11,20140324,0,1,0,2,0,1,1,20140324,1,1,20140324,20140324,20140324,0,0,739,0,inlier
20131222,1,25,0,0,10,0,0,3,-1,2.01312E+11,2.01312E+11,20131221,1,0,0,2,0,10,0,20131222,9,0,20131222,20150330,20150531,3,0,463,0,inlier
20131122,0,21,2,0,4,0,0,0,-2,2.01311E+11,2.01311E+11,20131120,2,0,0,4,0,4,1,20131122,5,2,20131122,20131120,20131121,0,0,861,0,inlier
20130125,1,43,2,0,1,0,0,1,-1,2.01301E+11,2.01301E+11,20130124,1,1,0,5,0,1,1,20130125,2,1,20130125,20130124,20130125,1,0,1162,0,inlier
20130511,1,32,5,0,3,0,0,0,-1,2.01305E+11,2.01305E+11,20130510,1,1,0,5,0,3,1,20130511,4,1,20130511,20130510,20130512,0,1,1056,0,inlier
20130318,0,36,2,0,3,0,0,3,53,2.01305E+11,2.01305E+11,20130505,95,0,0,4,0,3,1,20130318,1,1,20130318,20130510,20130511,3,0,53,0,inlier
20131230,1,55,2,0,1,0,0,0,-1,2.01312E+11,2.01312E+11,20141114,1,0,0,4,0,1,1,20131230,1,1,20131230,20131229,20131231,0,1,823,0,inlier
20130409,1,26,2,0,8,0,2,6,81,2.01306E+11,2.01307E+11,20120323,382,1,0,2,0,8,0,20130409,8,0,20130409,20130629,20130711,6,0,81,0,inlier
20130116,1,29,2,0,2,0,0,0,0,2.01301E+11,2.01301E+11,20130115,1,1,0,4,0,2,1,20130116,2,1,20130116,20130116,20130116,0,0,1171,0,inlier
20130824,0,21,0,0,8,0,0,2,-1,2.01308E+11,2.01311E+11,20130115,1,0,0,4,0,8,0,20130824,8,0,20130824,20150130,20150131,2,79,524,0,inlier
20130228,1,51,0,0,1,0,0,2,-1,2.01302E+11,2.01302E+11,20130227,1,1,0,4,0,1,1,20130228,1,1,20130228,20130227,20130228,2,0,1128,0,inlier
20130214,0,51,0,0,2,0,0,7,-1,2.01302E+11,2.01302E+11,20130213,1,0,0,4,0,2,1,20130214,2,1,20130214,20140728,20140805,7,1,529,0,inlier
20130802,1,49,2,0,1,0,0,0,0,2.01308E+11,2.01308E+11,20130802,0,1,0,5,0,1,1,20130802,1,1,20130802,20130802,20130802,0,0,973,0,inlier
20130424,1,29,0,0,4,0,0,0,0,2.01304E+11,2.01304E+11,20130423,1,0,0,4,0,4,1,20130424,3,1,20130424,20130424,20130424,0,0,1073,0,inlier
20131118,0,28,5,0,2,0,0,0,-1,2.01311E+11,2.01311E+11,20131117,1,0,0,5,0,2,1,20131118,2,1,20131118,20131117,20131118,0,0,865,0,inlier
20140122,0,63,3,0,1,0,0,1,-219,2.01306E+11,2.01306E+11,20131117,219,0,0,5,0,1,1,20140122,1,1,20140122,20130617,20130625,1,0,800,0,inlier
