IDOS5,IDOS30,IDOS60,IDOS100,KNN5,KNN30,KNN60,KNN100,LIC5,LIC30,LIC60,LIC100,LOF5,LOF30,LOF60,LOF100,LOOP5,LOOP30,LOOP60,LOOP100,SOD5,SOD30,SOD60,SOD100
0.795489477,1.612236643,1.453611383,1.725495893,178.8678003,196.558719,207.9991106,216.2563294,344.9558764,382.332446,401.9272709,417.8219527,1.218551203,1.228531381,1.197199695,1.150217173,0.230122661,0.296784991,0.269453134,0.258265452,0.273067493,0.221497599,0.215282511,0.248309122
1.018089048,1.474685424,1.047828498,0.951605598,113.3678526,130.3264747,145.3576623,159.687977,219.8762668,251.3624521,275.0473831,298.4454852,1.049677536,0.99476826,0.982800514,0.977586018,0.127958105,0.004053838,0,0,0.071821306,0.06259622,0.050241727,0.051545148
1.899667559,1.632996064,1.579784211,1.654731195,229.7613545,263.6087252,278.3956178,291.7274584,454.731596,512.583131,538.6492918,562.4046763,1.703809217,1.692820968,1.61589715,1.527573706,0.756115709,0.701166764,0.664541736,0.620955581,0.529463115,0.221198618,0.210619978,0.343559416
1.383128844,1.262752129,1.505808054,1.605453782,160.3345565,180.8906023,190.6193589,199.2303692,313.7134087,350.3806427,368.8442149,384.2451537,1.159133927,1.122105717,1.122551798,1.086579597,0.242109846,0.156695637,0.175023968,0.166010786,0.249310658,0.178487067,0.147994302,0.092106598
0.630511796,1.178948635,1.497303468,1.67949895,255.2805124,299.5915052,314.0351732,326.6138852,491.8809417,577.3914346,606.80333,630.3837938,1.630601591,1.831454995,1.755481412,1.69260298,0.741713457,0.765791406,0.723980866,0.724122817,0.371199561,0.460737247,0.458961432,0.47042662
1.37288096,1.033509274,0.964470698,0.96916829,107.2587526,141.6693333,155.8431583,169.6780775,210.007941,269.7443463,294.2132443,318.0855259,1.01144157,1.019532465,0.998204456,0.989860127,0.009029694,0.05814909,0.021793662,0.009769515,0.100612488,0.090779356,0.097840993,0.107789677
1.492727784,1.311298634,1.407858244,1.246332217,163.5495032,193.0562353,204.4863565,219.8385544,321.9245768,371.6198362,393.4150672,418.3620395,1.321916719,1.284800038,1.220740945,1.168900969,0.403243502,0.375434705,0.303834293,0.282203607,0.100763886,0.066033127,0.085346983,0.080307252
1.086179824,0.985461193,0.966114503,1.075630517,107.280893,135.9136491,150.4686014,160.4589979,210.1765749,258.3502085,284.0174756,302.7295603,1.004170944,0.992810948,0.980759662,0.97904829,0.091727871,0.019583371,0.013474417,0,0.098095533,0.105270039,0.106331699,0.114917431
1.559389976,1.208746611,1.025327393,0.958081034,117.7708793,142.0452041,156.8267515,172.318078,231.6219398,272.9513105,297.2485294,322.675673,1.019107694,1.019498918,1.004869863,1.002457044,0.041132551,0.044594523,0.016656729,0,0.153073984,0.097831333,0.108977447,0.12984783
1.607635365,1.444430023,1.085456,1.029670352,166.3771018,196.8828332,218.6575405,237.6947833,326.0467952,380.1483175,415.0550308,447.4987223,1.28036998,1.288137537,1.253815478,1.222201853,0.37255212,0.372009918,0.355291022,0.353713139,0.167277287,0.286285534,0.155176473,0.181681541
1.515589134,0.979422724,1.084300249,1.025449607,108.0559115,138.2878881,150.1266798,163.5513069,212.0465394,261.7407763,284.0910543,307.1903933,1.013131907,0.996104627,0.991793019,0.992444826,0.034972352,0,0,0,0.149797192,0.092820156,0.099789183,0.110443752
2.00321659,1.241481141,1.027130605,0.916597264,150.5115942,179.3945373,198.797661,217.7497187,294.3420281,343.2023751,375.3917188,407.1566489,1.265248898,1.082493367,1.087771387,1.099889056,0.486757087,0.149147396,0.140306428,0.146778503,0.318703716,0.080132375,0.084404235,0.083950016
0.863547661,0.948776266,1.058132447,1.04215195,143.3590946,173.7622226,186.773285,201.916666,279.4812892,330.7246398,355.3429875,380.8996569,1.177888569,1.133767486,1.102582368,1.07949637,0.216529396,0.184210981,0.168295519,0.160224268,0.207260616,0.203913211,0.207833952,0.183637482
0.62619292,0.915466445,0.884634534,0.733171727,125.1874195,151.3017845,167.3446743,190.2422666,241.7478905,286.779074,314.4553152,350.1790269,1.050980746,1.043675589,1.035915156,1.026543867,0.146288134,0.065068208,0.057474979,0.060516871,0.087106197,0.08623412,0.086714273,0.092413699
1.359256048,0.796398083,0.927585953,0.90999974,106.5011737,140.0366024,152.8231658,167.3415071,205.8092166,264.6975436,289.1515114,313.3207026,1.011934377,1.000374553,0.997812979,0.987298497,0,0,0,0,0.081119335,0.091054018,0.086139547,0.076711857
0.93015186,1.634941271,1.17256449,1.201506669,149.5905077,166.9505915,183.3148657,196.3055272,287.9559939,324.6085256,349.9778242,372.5548531,1.198087342,1.12581901,1.096294025,1.065706222,0.386860188,0.206039705,0.196199455,0.191808752,0.155021032,0.139683317,0.126653712,0.134509242
2.018463615,1.202580769,1.16851081,1.201783435,146.7080093,173.6275324,186.3061459,198.866865,286.5512781,332.5942793,355.567647,377.5860701,1.082126634,1.157233182,1.113090357,1.07507676,0.105414571,0.255271875,0.202755682,0.184791649,0.082070372,0.094931368,0.093997863,0.121458763
1.383424619,1.483261354,1.437956052,1.414446417,149.3599679,169.5441535,180.4390479,191.5760945,287.71617,327.8734431,346.8815103,366.04146,1.075811578,1.15241968,1.101511011,1.05599149,0.234682263,0.229269069,0.204588396,0.164033623,0.141750872,0.108812417,0.107931803,0.104644849
2.668587623,1.034640488,1.243231794,1.288649733,162.3260608,195.322093,206.5591199,217.6170719,321.0670572,373.7522497,395.889399,415.8902779,1.153754196,1.179349089,1.147578628,1.125813351,0.218206014,0.250427774,0.222145462,0.218254643,0.211953914,0.208892993,0.242597141,0.148608089
0.825532825,1.532633025,1.453094337,1.41317758,165.8180931,184.582854,195.4662631,206.6993227,324.4434732,359.3420295,377.7393897,396.5474308,1.120258654,1.213596232,1.165665317,1.116622752,0.009197174,0.235891983,0.229871873,0.221693835,0.168863348,0.132882113,0.094887364,0.091935471
1.560602752,1.21922212,0.997947072,0.997889842,126.1569261,151.8419573,168.5406776,182.9653246,246.6904663,291.810665,319.309475,343.8485875,1.055443305,1.061098362,1.032381276,1.014335738,0.141071075,0.125286072,0.091818943,0.082642894,0.198852056,0.133083311,0.139056414,0.135490391
1.001619119,0.931831193,0.883070983,0.869195351,95.31720726,120.1294302,135.3101622,149.5990307,183.1543911,226.8067529,253.5605763,277.7780831,0.991689179,0.966479097,0.981207628,0.983252403,0,0,0,0,0.033622383,0.05259438,0.056767106,0.054925159
0.870308968,0.79285269,0.91753595,0.943051671,113.0055751,143.4968641,157.7212097,171.2939579,210.1114853,269.9479141,296.9785183,321.1614849,1.004870917,1.003750982,1.002951785,1.002115628,0,0,0,0,0.09295989,0.068216416,0.065759902,0.068379938
1.237908754,1.114083163,1.020182983,0.931350722,113.3778197,132.8123488,146.5776927,161.2138642,220.5733274,253.4630983,277.1339017,301.2211749,1.02684291,0.994035106,0.984619855,0.982561976,0.171678112,0,0,0,0.101081004,0.091190276,0.086129037,0.084703329
1.515522004,1.442908442,1.2408457,1.207566954,189.356542,216.0624447,234.1281487,248.8300625,367.8137899,416.4794823,447.2527621,473.6104935,1.450245949,1.257078914,1.242299676,1.221530139,0.699367654,0.362873037,0.345505973,0.315054353,0.392854871,0.177801338,0.205310751,0.219525218
0.45217805,1.048472399,1.083961691,1.241387395,172.3922562,200.4863836,216.2197031,228.777818,329.7945514,385.8064589,413.3047997,436.1491616,1.148636585,1.253515977,1.227320916,1.191344289,0.220797484,0.313689628,0.298765297,0.28761604,0.288393831,0.131847036,0.135371696,0.122119423
1.166883233,1.081489014,1.155908419,1.128486639,142.5222088,168.4161512,181.2522827,193.5934141,276.5953466,322.8084454,346.1715855,367.843928,1.144771148,1.070676297,1.059156168,1.045841092,0.285671885,0.143015867,0.126801836,0.098849803,0.254396082,0.099734822,0.101302542,0.098116941
1.444796892,1.157861939,1.313754959,1.648066052,256.9405184,290.8232453,307.9550617,317.8167082,500.9391716,560.8640804,592.8588441,614.1146158,1.5344852,1.480889408,1.532288686,1.53913818,0.673715189,0.5016346,0.544477134,0.588011086,0.201087407,0.150687057,0.133557762,0.160278526
