IDOS5,IDOS30,IDOS60,IDOS100,KNN5,KNN30,KNN60,KNN100,LIC5,LIC30,LIC60,LIC100,LOF5,LOF30,LOF60,LOF100,LOOP5,LOOP30,LOOP60,LOOP100,SOD5,SOD30,SOD60,SOD100
0.67938391,0.959479312,0.905301221,0.885321823,1.537953185,2.66291194,3.307808942,4.115871718,2.784336585,4.801947208,5.861962142,7.140768104,0.983647238,1.020114819,1.012936438,1.030954116,0,0,0,0.047426386,0.006408485,0.011707076,0.010456233,0.012112081
0.996701479,1.022756381,0.934429116,0.920416329,2.298825787,3.433045295,4.46881416,5.682323468,4.208245303,6.292577254,7.908268799,9.860425942,1.031159358,1.041602883,1.063396926,1.13834033,0.389495417,0.267398288,0.243063908,0.547849624,0.015212726,0.01618378,0.016921243,0.017242457
2.252834057,1.320724852,1.037530774,0.898269373,2.283987741,3.046818012,4.292295423,5.330938004,4.452910191,5.653064151,7.421278088,9.148821514,1.19182468,1.046801517,1.047809192,1.042513277,0.434192437,0.394734663,0.260859358,0.320140513,0.011391169,0.018283495,0.016263385,0.013766415
1.982975574,1.624081312,1.229851825,1.188448698,2.201158786,2.740273709,3.292567387,4.073057819,4.27848036,5.197553644,6.032171677,7.220496261,1.375712537,1.147525366,1.061793269,1.034470219,0.821561013,0.724598426,0.628510677,0.447853462,0.023164787,0.020747719,0.023565693,0.023744761
1.171465248,0.847698594,0.841453608,0.90201949,1.482295517,2.629030239,3.300227265,3.974418196,2.806184669,4.655879405,5.820740659,6.945601438,0.974504513,1.008354444,1.022005057,1.030757109,0.081496057,0,0.070884551,0.173553033,0.008721537,0.010446788,0.013163389,0.013187126
0.739745943,1.149973093,0.905027974,1.021386613,1.9349677,2.671048483,3.423433949,4.025332284,3.658988832,4.944384836,6.073328729,7.110731009,1.050246178,1.029512373,1.011756896,1.023706802,0.001191386,0.081285078,0.134016406,0.151527098,0.009154243,0.009735811,0.014561234,0.019758598
0.517268312,0.799944051,0.861546611,0.881144954,1.935045219,2.997448915,3.814787019,4.593147069,3.34388155,5.394574258,6.714271294,8.043763602,1.008500199,1.060942539,1.073260999,1.080146717,0,0.2173048,0.309727922,0.479538742,0.007715657,0.007535756,0.013179976,0.013049983
0.396752227,1.082080284,1.095705671,1.042101506,2.544916502,3.365442021,4.034178975,4.565479164,4.559735926,6.244391723,7.361429372,8.290851883,1.061676411,1.140001228,1.119079207,1.092254296,0.09641181,0.492366,0.621084266,0.624194157,0.013451126,0.019383424,0.019899262,0.020201253
2.278430169,1.314460398,1.155278802,1.24770859,2.531817529,3.534076966,4.573007763,5.224040582,4.950420412,6.541610833,8.104844243,9.289668365,1.239876957,1.06817739,1.059201232,1.054598908,0.591999174,0.404571464,0.340239097,0.274604083,0.010990143,0.007247653,0.009400864,0.012850749
2.52090795,1.121597427,1.191795275,1.2202953,3.047457957,4.758886424,5.248752233,5.749921739,5.888528152,8.740738969,9.746351369,10.6743541,1.239078286,1.271794717,1.250883823,1.222670386,0.630699561,0.818316161,0.859367923,0.880616268,0.021943983,0.031329748,0.025565552,0.024051902
0.951873571,1.19266898,1.01883471,1.071880075,2.268479667,3.05831653,3.619806625,4.221516315,4.238635112,5.670409091,6.587285937,7.581480525,1.047315478,1.082174496,1.050176048,1.042278189,0.362257279,0.483208941,0.404072971,0.357391844,0.018362254,0.018707643,0.019310078,0.018972622
2.24370994,1.604688798,1.54213768,1.275796183,2.541495623,3.066577897,3.424645967,3.985109785,4.992797953,5.809988738,6.427713735,7.28241778,1.507493042,1.233110925,1.104025746,1.034440843,0.825726807,0.795348314,0.738189502,0.550443413,0.01309709,0.012458105,0.017237874,0.020272206
2.396219016,1.08576948,0.81521088,0.745012188,1.625638336,3.117434843,4.400249993,5.441176343,3.166224683,5.463170892,7.505280506,9.321336634,1.039917685,1.042065729,1.085614656,1.068958164,0.154339436,0.28308498,0.406800178,0.439496936,0.013475749,0.020844521,0.01966016,0.019821754
0.75912914,0.984247825,0.820362428,0.752949746,2.112723361,3.509643857,5.126646077,6.59742374,3.915702661,6.300224736,8.730702685,11.12664874,1.11476876,1.038762272,1.104625229,1.134937867,0.569305345,0.354187955,0.524990806,0.720372827,0.017904153,0.017322072,0.017699521,0.01604077
0.989630994,1.028723093,0.993440959,0.953236055,1.727773133,2.614364167,3.299060472,4.002923931,3.346616814,4.782078468,5.856787025,7.019355518,1.07585627,1.010168389,1.002807417,1.019983355,0.198871837,0.057953113,0.02681288,0.065869583,0.014147287,0.019160331,0.015473145,0.019413716
1.739807304,0.910019276,0.811704678,0.736387001,1.798388167,3.382779922,4.796519572,6.418107198,3.472123484,5.821612486,8.101946174,10.70127591,1.026468458,1.008431142,1.056008993,1.09660352,0.166611618,0,0.169159462,0.461391347,0.004568436,0.007906537,0.009764147,0.010804743
1.768276577,1.266221805,1.183164119,1.239310022,2.373962931,3.221661062,3.698648402,4.078602702,4.583978697,6.065453875,6.852819858,7.525947321,1.096429875,1.136576005,1.128051616,1.055965032,0.361822954,0.518966257,0.58759699,0.580220335,0.015768156,0.013251111,0.017258684,0.020466342
