IDOS5,IDOS30,IDOS60,IDOS100,KNN5,KNN30,KNN60,KNN100,LIC5,LIC30,LIC60,LIC100,LOF5,LOF30,LOF60,LOF100,LOOP5,LOOP30,LOOP60,LOOP100,SOD5,SOD30,SOD60,SOD100
9.04926621,2.193927413,2.24066892,2.30405734,4.624770764,4.996964986,5.205629183,5.371805232,9.219431213,9.795722421,10.17596518,10.46985144,1.374675236,1.359227422,1.315204731,1.254488587,0.733977752,0.773839507,0.731288496,0.682393336,0.235472994,0.128299757,0.228822554,0.242291153
1.78543182,1.280225597,1.249776543,1.229768584,6.10562577,6.981368376,7.377843908,7.720202082,12.0473918,13.50265427,14.24136885,14.86169024,1.214901935,1.129695576,1.160642353,1.159364727,0.505544362,0.396834769,0.404895883,0.385470407,0.131072251,0.124618715,0.152526783,0.117373514
0.99582485,1.074733985,1.376711491,1.320777726,3.898528678,4.647387133,4.887045681,5.178959648,7.591067347,8.917060013,9.408990681,9.907903345,1.222054216,1.280775224,1.228481657,1.187900123,0.459662912,0.666105422,0.606108707,0.576485639,0.093103866,0.097949406,0.042649077,0.049606941
1.932244316,1.230856435,1.721277698,1.737805097,4.723829033,5.436343451,5.605290955,5.81766588,9.302431359,10.50627265,10.90453481,11.28318691,1.400087978,1.354471554,1.332990878,1.282787316,0.731148317,0.704487246,0.695252907,0.643110396,0.213120455,0.155278402,0.164971657,0.165373858
0.791521689,1.303213255,1.422929351,1.362642996,4.205911346,4.825747947,5.086761203,5.339850695,8.135283759,9.344829418,9.841969094,10.2764184,1.204798256,1.246406088,1.207906361,1.172460401,0.454150701,0.598143715,0.499589207,0.420820025,0.07690047,0.103563773,0.051409952,0.05370649
0.985010678,0.992330579,0.9385958,1.016925535,4.941219065,6.217767971,6.884014781,7.33380024,9.52681819,11.7079902,12.92667255,13.81212249,1.092113153,1.16846463,1.250563854,1.26329864,0.182789377,0.308587828,0.504934637,0.538599326,0.083535114,0.051532327,0.057255935,0.04707913
0.464335752,0.952834651,1.233028035,1.341614976,5.620173247,6.772462561,7.138038186,7.435639871,10.47911143,12.91698617,13.6935596,14.28744656,1.019489921,1.18167901,1.203747971,1.19645941,0,0.374283641,0.422117132,0.414656391,0.074909398,0.091507517,0.095765628,0.082236162
1.212893266,0.853296425,0.796157162,0.778511666,3.329424946,4.745890809,5.392573383,5.971549824,6.464116396,8.730090973,9.935459301,10.98119671,1.062159776,1.063641393,1.19256204,1.241631343,0.194723769,0.148115024,0.316692887,0.44488563,0.01663213,0.04110503,0.045034749,0.045492101
3.719495629,0.930193148,0.965952247,0.976253241,3.734714192,4.910376336,5.438616656,5.853982323,7.368725845,9.275327186,10.23433318,11.00178482,1.099882321,1.06006087,1.072840336,1.11113443,0.400469631,0.259338809,0.257016841,0.254561466,0.063245553,0.033291857,0.062229084,0.066108339
2.045066716,0.94114702,0.889731711,0.874372556,3.486882406,4.579103483,5.114935369,5.522446185,6.82878393,8.653196536,9.593779533,10.34591089,0.986101063,1.015985917,1.026447047,1.06829064,0.130196178,0.070712016,0.061088224,0.089999775,0.041777416,0.064376723,0.052622513,0.071724783
2.01498907,0.974091198,1.275351574,1.235803882,3.254736495,4.080372037,4.304998297,4.559638005,6.4187089,7.792216878,8.271372356,8.718705288,1.152054848,1.068611434,1.064969832,1.059974959,0.42377824,0.235663755,0.240447755,0.233105419,0.086922958,0.034990925,0.034350861,0.036139041
2.248124612,1.051858859,0.896619884,1.070176934,5.548781514,6.355243542,6.925554841,7.21044957,10.81942654,12.22274588,13.19297869,13.80699397,1.006120748,1.031871836,1.026979502,1.034169508,0.153895717,0.087770315,0.048916514,0.051012971,0.129923734,0.12049511,0.119212868,0.134590489
3.960077659,1.137535989,1.050588568,1.051827715,5.097955025,6.08410822,6.621504027,7.035858198,10.1325419,11.700932,12.61279635,13.37507739,1.169126366,1.145125948,1.132745553,1.140811723,0.237490965,0.300315766,0.316200958,0.342139926,0.083706255,0.093412519,0.099026455,0.103158315
3.03941693,0.981040962,1.259541024,1.479297096,5.809488407,7.254319103,7.623704568,7.896512597,11.4650805,13.79825445,14.63510869,15.20828255,1.47154743,1.634038806,1.637594971,1.636721777,0.720472389,0.885020571,0.893500825,0.913179033,0.182584368,0.160618153,0.046689959,0.042895658
1.434102999,1.162699394,0.844319524,0.899460453,3.871465818,4.903341667,5.675073571,6.059405308,7.510400065,9.37445621,10.6141472,11.37763757,1.069849895,1.075615425,1.105817284,1.125017287,0.225273059,0.26575801,0.318142918,0.323822094,0.050328511,0.042508791,0.040611365,0.052972925
0.514992538,2.046062724,1.537863957,1.683980705,4.698037303,5.070935534,5.437942415,5.657682159,9.044781195,9.925884176,10.5035642,10.91701423,1.207442137,1.422830617,1.375195045,1.309827439,0.45178397,0.803845927,0.795385087,0.750287712,0.143508246,0.166877821,0.254657471,0.224589657
