IDOS5,IDOS30,IDOS60,IDOS100,KNN5,KNN30,KNN60,KNN100,LIC5,LIC30,LIC60,LIC100,LOF5,LOF30,LOF60,LOF100,LOOP5,LOOP30,LOOP60,LOOP100,SOD5,SOD30,SOD60,SOD100
1.508936756,0.751856412,2.427140011,2.58936974,3.16227766,3.741657387,3.741657387,3.872983346,6.01192236,7.264944298,7.374129536,7.589840638,1.106898007,2.354039023,1.946675737,1.978740087,0.245531471,0.617193575,0.620873368,0.558010265,0.001123978,0,0,0
1.459946839,0.720714086,2.523337831,2.395784494,3,3.31662479,3.31662479,3.464101615,5.488459444,6.463823895,6.548536738,6.782990357,1.320756616,2.165049498,1.774800233,1.801632989,0.007391386,0.549294862,0.543180322,0.481235242,9.18E-04,0,0,0
4.59644553,1.243774366,0.807930253,1.329736138,3.16227766,4.582575695,4.582575695,4.69041576,6.156338986,8.679983389,8.922567389,9.166263478,1.27580842,2.555927798,2.198197108,2.334114506,0.708271089,0.508491533,0.583009609,0.616774323,0.00145388,9.73E-04,0.001128662,0.001112678
5.034000639,0.473022907,0.718632064,0.718094027,3,5,5.099019514,5.099019514,5.860521112,9.411620006,9.824633419,9.973995663,1.31518907,2.89117382,2.643984078,2.580592375,0.781340045,0.65300558,0.69098282,0.710358932,0.001457671,7.56E-04,7.64E-04,7.70E-04
0.619616715,0.257636207,0.395559756,0.392860866,2.236067977,4.795831523,4.898979486,4.898979486,3.712534447,8.763220379,9.308095798,9.504041067,0.981668497,2.788559515,2.556442806,2.493689264,0,0.581419749,0.654046373,0.675306223,0,0,0,0
0.871290424,0.245765672,0.388775717,0.384565192,1.732050808,4.795831523,4.898979486,4.898979486,3.107713843,8.746419806,9.301414645,9.500032375,1.037691403,2.790674472,2.555392528,2.492495795,0,0.579325428,0.655194949,0.675595075,0,0,0,0
1.53605865,0.308447986,0.456662143,0.455409936,2.449489743,5.099019514,5.196152423,5.196152423,4.533011448,9.434834894,9.932996452,10.11671981,0.957946076,2.881737597,2.674935375,2.606371767,0.38617968,0.608467806,0.689884057,0.708845239,0.001116732,0.0010997,0.001044471,0.001124176
4.013265225,1.435331701,0.720001955,0.576412839,3.31662479,4.242640687,5.385164807,5.567764363,6.267988654,7.933193744,9.599280816,10.3106034,1.17781987,0.997643796,1.2004572,2.013965304,0.571608128,0.005087598,0,0.196709732,0.001591611,6.84E-04,0,6.34E-05
0.471374046,0.599095831,0.830585637,0.522376389,2.449489743,4.242640687,4.795831523,4.795831523,4.051483278,7.507532527,8.732285526,9.076036534,0.981330502,0.986873045,1.960072812,1.929190393,0,0,0.036650317,0.22413111,0,0,0,0
0.649104252,0.668355058,0.881141045,0.559028079,2.645751311,4.358898944,4.898979486,4.898979486,4.467721896,7.776036306,8.963546541,9.297311513,0.963181424,0.986896577,1.978868751,1.947614823,0,0,0.054768601,0.23271091,6.49E-04,6.83E-04,0,0
1.163803245,0.330945221,0.280176001,0.244465578,1.732050808,5.567764363,5.656854249,5.656854249,3.190556556,9.659656239,10.52677282,10.84154709,1.011873328,2.340488814,2.80079403,2.699316866,0,0.450810082,0.638730303,0.707663582,0,0,0,0
1.2238168,0.379135204,0.315982362,0.275829455,2.236067977,5.744562647,5.830951895,5.830951895,4.213337881,10.13366146,10.93665779,11.22675619,1.088905577,2.375047496,2.874660494,2.769584982,0.256521542,0.496616808,0.674678332,0.73381151,0,0,0,0
0.962992512,0.349306929,0.2921235,0.252800151,2,5.656854249,5.744562647,5.744562647,3.575663036,9.869500988,10.7143965,11.02428802,0.98488322,2.477367466,2.844270137,2.743823436,0.007487878,0.480451702,0.657608137,0.72014759,0,0,0,0
1.028706491,0.491668468,0.311439518,0.360718119,1.732050808,5.477225575,5.477225575,5.567764363,3.190556556,9.520557479,10.23750431,10.62297033,1.00447014,3.189412031,2.736142397,2.772404009,0,0.436442333,0.642741017,0.697635668,0,0,0,0
1.617566969,0.541122119,1.614680703,1.802365154,4.123105626,5.196152423,5.291502622,5.291502622,7.797304813,9.971614791,10.30909342,10.41865815,1.084809413,2.220086233,2.485362065,2.424795027,0.305201548,0.561110123,0.634740351,0.680867904,0.001614693,7.61E-04,0,0
