V,VA1,VA2,B,BA1,BA2
0.7315252,0.7319485,0.7949842,0.9145647,0.7340239,0.7934297
0.4590545,0.4530443,0.4294503,0.4228515,0.4550321,0.4497037
0.471235,0.4715705,0.4447274,0.5160262,0.4737561,0.4813626
0.4192124,0.4123718,0.42691,0.39772,0.4088704,0.3978416
0.470878,0.4515757,0.4517652,0.4433765,0.4484371,0.4442839
0.4355746,0.4362793,0.4324859,0.4219542,0.4380342,0.4385404
0.4579632,0.4183255,0.4318993,0.3995309,0.419351,0.4092891
0.4206008,0.4193784,0.42518,0.3916708,0.4007374,0.3888797
0.4305445,0.4308742,0.4305227,0.4108889,0.4327805,0.4291838
0.4115354,0.4133452,0.4292779,0.3874775,0.4095577,0.4018006
0.4235145,0.3992027,0.4247716,0.4204954,0.400811,0.391059
0.4066316,0.4271822,0.4337844,0.3913708,0.4290531,0.4287021
0.4458415,0.454972,0.465867,0.4557154,0.4571648,0.4582833
0.4361746,0.4391683,0.4286991,0.4310386,0.441062,0.43453
0.4229197,0.4348265,0.4261626,0.4020557,0.437351,0.4357965
0.6788021,0.7552232,0.7736468,0.8770821,0.7572493,0.8189063
0.4090152,0.4036144,0.4240396,0.3849023,0.4049226,0.3929061
0.4308877,0.445343,0.4463735,0.4178147,0.4473482,0.4441388
0.4860498,0.4360584,0.429675,0.4146004,0.436864,0.4250406
0.4308283,0.4269517,0.4352897,0.43315,0.4287615,0.4259707
0.4432687,0.4352305,0.4357464,0.4085225,0.4367696,0.4329501
0.4477929,0.4417403,0.4288219,0.3927829,0.4365945,0.4323503
0.6838431,0.5961229,0.5421609,0.6198794,0.5961229,0.5153474
0.4548869,0.4259313,0.4267358,0.4749937,0.4233382,0.4199589
0.4343613,0.4157275,0.4335832,0.4257779,0.4178893,0.4069274
0.4661866,0.4207713,0.4301465,0.489392,0.4227128,0.4164109
0.433343,0.4115039,0.4270563,0.4309002,0.4137897,0.4047362
0.5294394,0.5174489,0.4891104,0.4264758,0.5309439,0.4788539
0.4429155,0.414704,0.429954,0.4449154,0.4168065,0.4107217
0.5187586,0.4984866,0.4816882,0.4377786,0.4765809,0.4690262
0.4454094,0.4845166,0.4572491,0.4544033,0.479927,0.487248
0.4477925,0.4357228,0.441207,0.4199869,0.4376673,0.4315405
0.4533441,0.4480349,0.4503261,0.4708688,0.4479438,0.4486642
0.4182233,0.4061554,0.4244631,0.4059773,0.4081594,0.4011265
