V,VA1,VA2,B,BA1,BA2
0.6468629,0.6832691,0.6025345,0.5008464,0.6679962,0.6679962
0.246065,0.2239388,0.2406164,0.278506,0.218811,0.218811
0.8970408,0.9133169,0.9157607,0.9015638,0.9118819,0.9118819
0.5314816,0.4990766,0.485144,0.4148239,0.483659,0.483659
0.9420634,0.9529291,0.9633013,0.968128,0.9555468,0.9555468
0.250307,0.2474913,0.2334037,0.2927466,0.2543716,0.2543716
0.5919339,0.5039296,0.5762356,0.5262764,0.5014187,0.5014187
0.2435513,0.2627588,0.2272887,0.2801847,0.2634141,0.2634141
0.27126,0.2782166,0.261723,0.3077039,0.2774426,0.2774426
0.6454844,0.5674772,0.6292694,0.5978925,0.5771996,0.5771996
0.2548204,0.256737,0.2332881,0.295788,0.2583447,0.2583447
0.394071,0.3717854,0.4487863,0.4326185,0.3789963,0.3789963
0.4659932,0.4337825,0.4240651,0.405422,0.435829,0.435829
0.2666527,0.2634347,0.3077187,0.337195,0.2702087,0.2702087
0.2276978,0.2191249,0.2260733,0.2897468,0.2257602,0.2257602
0.4603409,0.4436628,0.450777,0.3872781,0.4367915,0.4367915
0.4259656,0.4315784,0.4448756,0.3995828,0.4280229,0.4280229
0.4718405,0.4480157,0.4345505,0.3746399,0.4380337,0.4380337
0.5500326,0.5205024,0.5312108,0.4676417,0.5172061,0.5172061
0.5348749,0.5100077,0.5380497,0.4551824,0.4949161,0.4949161
0.3320793,0.3245,0.3176854,0.3221079,0.3258317,0.3258317
0.186499,0.188179,0.2000948,0.2850382,0.1901907,0.1901907
0.2163272,0.2296027,0.2410714,0.3072941,0.2377335,0.2377335
0.2495033,0.2364685,0.242525,0.2842384,0.2320794,0.2320794
0.666116,0.6541593,0.6824013,0.597005,0.6541991,0.6541991
0.5101444,0.5461877,0.6066185,0.5566733,0.5482964,0.5482964
0.3831714,0.3650852,0.3828107,0.3615776,0.3621612,0.3621612
0.777955,0.8510737,0.9440029,0.9082405,0.8504171,0.8504171
0.7633429,0.7539179,0.8645316,0.809949,0.7596767,0.7596767
0.6716076,0.6687172,0.7472801,0.6732821,0.6728109,0.6728109
