V,VA1,VA2,B,BA1,BA2
0.4190264,0.4779848,0.4680644,0.4294237,0.3523729,0.3694307
0.4706123,0.4406372,0.4278693,0.4684791,0.4560637,0.4170884
0.3494489,0.3990213,0.3951136,0.3552702,0.3421139,0.3531905
0.377396,0.3983678,0.3988515,0.3831795,0.3971794,0.3089088
0.5060855,0.5511397,0.5526007,0.5502266,0.5404228,0.7208829
0.3665107,0.3824403,0.3787367,0.3720088,0.4172329,0.3065847
0.4385596,0.4550251,0.454438,0.4145349,0.5240333,0.477814
0.3928369,0.3926692,0.3912319,0.4055612,0.3690628,0.3205418
0.700396,0.5970531,0.5943229,0.7020826,0.666327,0.8226411
0.4086023,0.4343819,0.4406658,0.4015576,0.4308403,0.3882812
0.3680034,0.4063945,0.4069936,0.3717592,0.3697376,0.3228732
0.5221062,0.4691654,0.4781835,0.5048236,0.4680599,0.4835399
0.600519,0.4678229,0.4776075,0.5663764,0.5504073,0.475154
0.5951374,0.590142,0.5999048,0.599761,0.5512783,0.7776143
0.4732908,0.5239358,0.5312807,0.5038843,0.5149123,0.6358693
0.478046,0.445744,0.44782,0.4765369,0.5094619,0.4522396
0.682417,0.6340248,0.6374963,0.700074,0.6956476,0.8968446
0.6084335,0.5884981,0.5895777,0.6099135,0.5834566,0.7741484
0.5319535,0.5675427,0.5679346,0.5505364,0.5234937,0.7657774
0.3893654,0.4086206,0.403637,0.3960687,0.4047633,0.3786181
0.540328,0.4320499,0.4412498,0.4947493,0.5071009,0.3912267
0.4203024,0.4390433,0.4383587,0.4137111,0.3993639,0.4494755
0.4334613,0.4974946,0.5022979,0.4382193,0.4748982,0.5654913
0.478392,0.4794577,0.484795,0.47153,0.4748819,0.5273246
0.3852517,0.390523,0.3853647,0.392053,0.3743336,0.3212123
0.5031184,0.4514066,0.4268184,0.4915385,0.4720699,0.337881
0.3349805,0.3922194,0.3941316,0.3357602,0.3655839,0.329105
0.466587,0.4904492,0.4879142,0.4755674,0.5048199,0.5587575
0.3709542,0.4577386,0.4049487,0.427801,0.4114499,0.3629225
0.4407223,0.4138442,0.4342259,0.4259054,0.4521087,0.3300861
0.6373362,0.5267289,0.510733,0.6280762,0.5541811,0.5447172
0.4358934,0.4308122,0.4309458,0.4607979,0.4996497,0.420708
0.6812932,0.5952515,0.5981055,0.6736535,0.571363,0.7981167
0.5412036,0.5975719,0.5997093,0.5794304,0.5547558,0.825251
0.5455053,0.50944,0.5302385,0.5095658,0.5382549,0.4082583
0.5716152,0.5756022,0.5755122,0.5739447,0.5351982,0.7424517
0.6844741,0.5754577,0.5627798,0.6949737,0.5425966,0.7669275
0.6340008,0.6924841,0.7081663,0.6588388,0.6451363,0.8642861
0.4404654,0.4406973,0.4260008,0.4468301,0.4427939,0.3332955
0.3460108,0.3871722,0.3869281,0.3478102,0.3433195,0.3285945
0.42173,0.4357539,0.4482483,0.3954961,0.4806311,0.3141891
0.3889533,0.4424798,0.4396641,0.4292721,0.4523255,0.4718305
0.7301859,0.6068837,0.6152818,0.7229624,0.6591272,0.8218411
0.5896618,0.6995618,0.7284074,0.6275686,0.7036601,0.8364847
0.6260395,0.5928511,0.5157451,0.6606187,0.5058281,0.6032796
0.4722268,0.4991852,0.4750679,0.5017615,0.496306,0.4813578
0.6357349,0.5791924,0.6040082,0.5694666,0.4510172,0.5783222
0.471406,0.4675742,0.4439994,0.4883671,0.4629212,0.482017
0.4910086,0.4993666,0.4848443,0.5299313,0.4449381,0.5602382
0.4197536,0.462196,0.463441,0.446825,0.4176275,0.5066907
0.5236119,0.4536191,0.4270404,0.4891217,0.4697724,0.3555154
0.4028506,0.4695872,0.4191351,0.4345749,0.4233783,0.3781242
0.3958568,0.3895003,0.3872689,0.4001194,0.3889556,0.3310147
0.8572033,0.725633,0.7368837,0.8463038,0.7620837,0.9900518
0.5179049,0.4845511,0.4944584,0.4968887,0.4755773,0.5054689
0.4175853,0.3932984,0.3954417,0.3912754,0.4330798,0.3158309
0.3519696,0.3876974,0.3868626,0.3549207,0.3746291,0.3175588
0.4664049,0.45841,0.4667687,0.4725436,0.4497862,0.4337602
0.4426184,0.4956696,0.4981011,0.4655034,0.4482739,0.5610188
0.587081,0.6351042,0.654158,0.5717254,0.6807173,0.7328436
0.3869643,0.4155898,0.4153475,0.3696213,0.353636,0.3992074
0.718109,0.5108371,0.5327509,0.6499023,0.5164759,0.4010711
0.6868531,0.5666944,0.572133,0.682067,0.646369,0.7376425
0.4715427,0.4907541,0.5042174,0.4505388,0.5041203,0.4374993
0.4683689,0.4378946,0.4462682,0.4527773,0.4549102,0.4076559
0.4298498,0.4450526,0.4619126,0.4178409,0.3925929,0.3085994
0.5748445,0.5724353,0.539448,0.6069355,0.5967822,0.664246
0.6016462,0.5848093,0.5848012,0.6045308,0.5806033,0.8039124
0.5085627,0.4787839,0.4603104,0.4930479,0.531225,0.4220446
0.4777341,0.4740206,0.5104223,0.4487376,0.484837,0.3269246
0.5455241,0.4751487,0.5023208,0.462311,0.4283034,0.3261274
0.4448226,0.5140409,0.5190076,0.4410636,0.475724,0.6201519
0.4528558,0.5212557,0.5231258,0.4834965,0.4982901,0.6419908
0.6468756,0.626445,0.6292591,0.6497142,0.6779151,0.8856754
