V,VA1,VA2,B,BA1,BA2
0.2651587,0.2417299,0.2208957,0.282526,0.2417299,0.2208957
0.6551896,0.6897719,0.7083031,0.5991226,0.6897719,0.7083031
0.6525445,0.5509518,0.610811,0.5938801,0.5509518,0.610811
0.7686015,0.7495728,0.7518114,0.8017613,0.7495728,0.7518114
0.2881668,0.2827819,0.2739136,0.297185,0.2827819,0.2739136
0.3994913,0.4970483,0.4769976,0.349098,0.4970483,0.4769976
0.4274248,0.4755325,0.5119203,0.3780374,0.4755325,0.5119203
0.7097431,0.7965875,0.8553323,0.6640179,0.7965875,0.8553323
0.6943093,0.7003113,0.6514667,0.6171632,0.7003113,0.6514667
0.9426574,0.961885,0.9785869,0.9428787,0.961885,0.9785869
0.6585912,0.6690949,0.6783433,0.6249321,0.6690949,0.6783433
0.7672452,0.8210895,0.8573391,0.7462575,0.8210895,0.8573391
0.5972984,0.4589025,0.5445295,0.5457139,0.4589025,0.5445295
0.6879593,0.6047215,0.6881864,0.6475693,0.6047215,0.6881864
0.4097162,0.3905955,0.3764115,0.4573555,0.3905955,0.3764115
0.4484887,0.4293077,0.4550969,0.3630419,0.4293077,0.4550969
0.7278603,0.8123809,0.8437086,0.6885491,0.8123809,0.8437086
0.2398495,0.2233535,0.2313624,0.2888257,0.2233535,0.2313624
0.5690151,0.5616343,0.62511,0.4793678,0.5616343,0.62511
0.4306054,0.4631344,0.4576845,0.4398726,0.4631344,0.4576845
0.2352885,0.2307674,0.2226177,0.2593869,0.2307674,0.2226177
0.877777,0.8495963,0.8890188,0.8169872,0.8495963,0.8890188
0.3585229,0.4449009,0.4027356,0.3652374,0.4449009,0.4027356
0.4099984,0.4103863,0.4353019,0.3490319,0.4103863,0.4353019
0.7547422,0.834758,0.884432,0.7214698,0.834758,0.884432
0.3776472,0.33976,0.3130258,0.3624643,0.33976,0.3130258
0.3296271,0.3754832,0.3190792,0.3525001,0.3754832,0.3190792
0.2214845,0.2418389,0.1950241,0.267933,0.2418389,0.1950241
0.6761503,0.7197027,0.7908544,0.5709158,0.7197027,0.7908544
0.4495291,0.409198,0.4743194,0.4020021,0.409198,0.4743194
0.6814199,0.7134067,0.8507015,0.555415,0.7134067,0.8507015
0.4453832,0.465393,0.4985858,0.3879417,0.465393,0.4985858
0.8957733,0.8477528,0.993311,0.8472016,0.8477528,0.993311
0.5417905,0.6309869,0.6178128,0.5022561,0.6309869,0.6178128
0.5196617,0.5561944,0.5596858,0.4860823,0.5561944,0.5596858
0.4368037,0.4083342,0.4394819,0.3772298,0.4083342,0.4394819
0.2314093,0.1795537,0.1632395,0.2833236,0.1795537,0.1632395
0.9245107,0.9457144,0.9729371,0.9406698,0.9457144,0.9729371
0.4145348,0.5049464,0.438915,0.3905213,0.5049464,0.438915
0.8888315,0.9390643,0.9769775,0.9424522,0.9390643,0.9769775
0.5775104,0.5925869,0.5519679,0.6048095,0.5925869,0.5519679
0.4594608,0.5201107,0.555823,0.3874166,0.5201107,0.555823
0.7008515,0.7273115,0.8691087,0.5923138,0.7273115,0.8691087
