V,VA1,VA2,B,BA1,BA2
0.459701,0.4826013,0.4891837,0.4673352,0.4621993,0.4713458
0.5358983,0.5877919,0.6075925,0.5437217,0.5494446,0.5895451
0.5353361,0.6241982,0.5911224,0.5333287,0.5795278,0.5730948
0.4570338,0.47891,0.48833,0.4708476,0.5621215,0.4828747
0.4777855,0.4904126,0.5007203,0.4837893,0.4676157,0.4820528
0.4594767,0.4563767,0.4461324,0.4554017,0.4392062,0.4281359
0.458544,0.4546214,0.4496605,0.4565591,0.4377477,0.431664
0.4593043,0.4570702,0.4502883,0.4575481,0.4397893,0.4322918
0.469756,0.4564131,0.4461305,0.4554128,0.4392387,0.4281335
0.4623407,0.4540536,0.4461319,0.4554042,0.4372728,0.4281353
0.4779899,0.4701914,0.4692386,0.4576384,0.4509291,0.4515472
0.46018,0.454039,0.4466852,0.4556611,0.4372607,0.4286885
0.460146,0.4541904,0.4461341,0.4554055,0.4373876,0.4281376
0.4615079,0.4553499,0.4461334,0.4554141,0.4383511,0.4281367
0.4662577,0.468293,0.4682493,0.4614766,0.4492618,0.4502313
0.4879304,0.5888674,0.6024974,0.5291847,0.5610792,0.584542
0.4925275,0.4679159,0.4547767,0.4900553,0.4571271,0.4489113
0.4601016,0.4547077,0.4461314,0.4554052,0.4378157,0.4281347
0.5005456,0.4633516,0.4556415,0.4801824,0.4596706,0.459614
0.4614815,0.4582856,0.4526448,0.4583229,0.4408026,0.4346481
0.4595435,0.4612446,0.454601,0.4576461,0.4434745,0.4367782
0.4625823,0.4582612,0.4527018,0.45879,0.4407835,0.4347051
0.4611011,0.4545348,0.4461322,0.4554296,0.4376736,0.4281354
0.4624461,0.4558467,0.4461309,0.4554101,0.438765,0.4281343
0.5479392,0.4562249,0.448067,0.4712143,0.4457459,0.4400669
0.5084193,0.5222048,0.527947,0.5049346,0.4600182,0.4588702
0.4654961,0.4566265,0.4517677,0.4590148,0.4466407,0.4446078
0.462883,0.4563996,0.4494662,0.458073,0.4392297,0.4314695
0.5069302,0.5531435,0.5673457,0.5332769,0.5201334,0.5493238
0.4628824,0.4559013,0.4461312,0.4554314,0.4388109,0.4281344
0.4610476,0.4600192,0.4506219,0.4581737,0.4422468,0.4326248
0.4633315,0.4538681,0.4461302,0.4554093,0.4371185,0.4281336
0.458808,0.4684444,0.4733943,0.4649835,0.5531489,0.4675651
0.4582985,0.4559289,0.4488085,0.4570307,0.4388379,0.430812
0.5403041,0.5485707,0.5424032,0.5189237,0.51625,0.5243916
0.5117573,0.4544047,0.4462451,0.46529,0.4449257,0.4392902
0.4780172,0.4660409,0.4480598,0.4744422,0.4558507,0.4429474
0.4597744,0.4528899,0.4483557,0.4553982,0.4363033,0.4303592
0.4775037,0.463851,0.4666236,0.4699384,0.4753875,0.4601369
0.4859162,0.5933678,0.604432,0.5328827,0.5612298,0.5865416
0.556935,0.466952,0.4576248,0.4968448,0.4630207,0.4621187
0.4666543,0.4585685,0.4461384,0.4571192,0.4410328,0.4281413
0.4636754,0.4658944,0.4700307,0.4645764,0.5292723,0.4641835
0.4626549,0.46126,0.447692,0.4573567,0.4432795,0.4296952
0.4615086,0.4584887,0.4461318,0.4554069,0.4409675,0.4281353
0.5199451,0.4888455,0.482993,0.4842494,0.4836991,0.491144
