V,VA1,VA2,B,BA1,BA2
0.4468098,0.4258567,0.412919,0.4067482,0.4253122,0.4134164
0.4901405,0.5381332,0.4728829,0.4152297,0.5455272,0.4846168
0.4589928,0.4646683,0.4487892,0.4639692,0.4604322,0.4459333
0.3558429,0.3408096,0.2941923,0.3991014,0.3358138,0.2900064
0.5110738,0.5017816,0.5367457,0.512205,0.4709413,0.488059
0.5190817,0.5116712,0.526625,0.4532309,0.5127464,0.5339822
0.7568498,0.7414174,0.8854525,0.744994,0.7405503,0.8858002
0.4811855,0.4908065,0.4710302,0.4106858,0.4930467,0.4754709
0.4009033,0.3871165,0.3625694,0.4480499,0.3782264,0.3516111
0.5139298,0.5481105,0.5208534,0.4435497,0.5503723,0.522646
0.4359485,0.4199252,0.4133661,0.4366603,0.4124667,0.4031716
0.471426,0.4957106,0.4946232,0.527176,0.514814,0.5250743
0.5623377,0.6030405,0.672281,0.5442959,0.597159,0.6379332
0.4100767,0.4033788,0.3732261,0.44488,0.3945717,0.3632423
0.3942934,0.4094576,0.387564,0.4758423,0.39998,0.3764909
0.4166162,0.4018607,0.3824715,0.4112853,0.395552,0.3753624
0.3789298,0.368814,0.3248238,0.4003508,0.3673706,0.3262019
0.8105277,0.8119524,0.9765459,0.7440996,0.8130991,0.9765459
0.3928086,0.3883474,0.3437529,0.3892338,0.3833534,0.3418495
0.3511033,0.3376816,0.2803632,0.3891017,0.3341017,0.2783916
0.5246403,0.5625014,0.5746662,0.5526543,0.5672416,0.583705
0.3597712,0.338198,0.2834658,0.3939201,0.3346624,0.2815422
0.3946371,0.3664612,0.3301819,0.4120105,0.3581893,0.3211221
0.4976859,0.5082122,0.5340661,0.4839017,0.5078323,0.5401948
0.4268905,0.4890026,0.4279695,0.4379996,0.4761722,0.4122124
0.3653009,0.3653899,0.3140323,0.416084,0.3600529,0.30955
0.4328631,0.4109496,0.3697193,0.3969072,0.420564,0.3667954
0.4106021,0.4086324,0.3697986,0.4089677,0.4041391,0.3672419
0.5303459,0.5471078,0.5759737,0.4956456,0.547664,0.5728488
0.4393559,0.4415639,0.4126883,0.4144279,0.442514,0.4185469
0.5408511,0.5494154,0.5886547,0.5435362,0.5373623,0.5721292
0.4139445,0.4189588,0.3772819,0.4256116,0.4165718,0.3772913
0.3809361,0.3755328,0.3343026,0.4376457,0.3811456,0.3461122
0.6372079,0.6827904,0.7873125,0.6604019,0.6401885,0.7225511
0.5492836,0.5499968,0.5536727,0.4955402,0.5989825,0.6254575
0.5025054,0.5072332,0.5297076,0.4466229,0.4919425,0.50389
0.4002932,0.4220802,0.4067623,0.4981769,0.4145659,0.3985568
0.7754184,0.708434,0.8217875,0.6055541,0.712525,0.8236174
0.381222,0.3635611,0.323536,0.3984444,0.3576497,0.3218998
0.4690189,0.4752554,0.4393325,0.4754896,0.4925611,0.4672184
0.860303,0.9209458,0.9999992,0.753484,0.9245359,0.9999992
0.3803989,0.3664152,0.3174455,0.4180583,0.3674765,0.3224067
0.4141219,0.3714352,0.3410688,0.4192769,0.3671489,0.3377919
0.3673636,0.3560601,0.3117543,0.4152586,0.3541458,0.3121134
0.5171908,0.5190362,0.5050503,0.4340062,0.5217473,0.5107357
0.359605,0.3393211,0.2803712,0.3890731,0.335764,0.2784024
0.5238408,0.5354682,0.5365534,0.4707689,0.542874,0.5499791
0.4124251,0.4510833,0.3745653,0.4058928,0.4455569,0.3688568
0.4613545,0.4803791,0.4817884,0.5461544,0.5052385,0.521544
0.3579363,0.3394797,0.2861602,0.3956577,0.3362813,0.2849157
0.3772415,0.3708835,0.3286995,0.4134694,0.3531028,0.3050639
0.4087225,0.4217011,0.3973475,0.4625195,0.4135564,0.3878971
0.4548215,0.4728278,0.4334309,0.4675303,0.4740659,0.4371159
0.3944371,0.3888075,0.3567417,0.4405856,0.382828,0.3510917
0.4405065,0.444162,0.4197268,0.4789105,0.4513519,0.4337244
0.3805567,0.3517026,0.3012208,0.4314622,0.3547358,0.3093613
0.4927072,0.4560787,0.4357266,0.4746833,0.4887575,0.4866751
0.3887235,0.3865898,0.3608145,0.4502499,0.3819836,0.3570135
0.4604644,0.4416629,0.4274417,0.4071124,0.4410764,0.4275956
0.5983428,0.5532029,0.6049441,0.6554555,0.5946331,0.670256
0.4502447,0.4515101,0.4509935,0.4729509,0.4307389,0.4204152
0.4362236,0.4558293,0.4564382,0.509844,0.4481435,0.446869
0.3842965,0.3687533,0.3215547,0.4076469,0.3620484,0.3149845
0.390125,0.3904739,0.3581745,0.410016,0.3691746,0.3286281
0.4213448,0.3800926,0.3438502,0.4075882,0.3788965,0.3477898
0.5694482,0.5911108,0.6592741,0.6412779,0.5874698,0.6554074
0.3702561,0.355361,0.3132553,0.4023886,0.3481832,0.3057417
0.4879704,0.5279479,0.4866554,0.4102248,0.5272579,0.4867638
0.7034084,0.7040763,0.7141483,0.5223031,0.7103333,0.7169455
0.3693133,0.3666087,0.3167881,0.4148093,0.3563007,0.3040365
0.3781954,0.3380166,0.2840655,0.3919076,0.3338404,0.2814335
0.4636263,0.4427656,0.4400583,0.5042566,0.450283,0.4546235
0.4593958,0.5263401,0.4502489,0.4366255,0.5270066,0.4527185
0.4285709,0.3998626,0.3687492,0.44009,0.405888,0.3748592
0.7265992,0.6949294,0.814012,0.6680786,0.7014144,0.8227666
0.3711425,0.3628292,0.3148234,0.4004844,0.3600975,0.314153
0.3924013,0.3963778,0.3525051,0.4303204,0.3922358,0.3491628
0.3536759,0.3367835,0.2825511,0.391152,0.334131,0.2819851
0.3914552,0.3658643,0.3314673,0.4268583,0.3626117,0.3286695
0.3506738,0.3373551,0.2803625,0.389674,0.3338126,0.2784149
0.6060942,0.6649039,0.7630111,0.722258,0.6526691,0.7464183
0.7609871,0.7666064,0.920874,0.7346244,0.766028,0.9181606
0.4115017,0.4154738,0.3806268,0.425904,0.4098306,0.3749308
0.5130756,0.5480847,0.5920676,0.6120985,0.5472807,0.5938577
0.3625508,0.348125,0.3054611,0.4051276,0.3413975,0.2983831
0.6560988,0.794821,0.8270847,0.7202264,0.8170587,0.8594317
0.4902533,0.5998497,0.4933634,0.3952343,0.5994949,0.4906534
0.4564442,0.4479309,0.4348221,0.4318863,0.4546822,0.4435539
0.6369776,0.652589,0.7543617,0.6521618,0.5745695,0.6393076
0.3761045,0.3546935,0.3032185,0.4040425,0.3500024,0.2997211
0.3901652,0.3795593,0.3500876,0.4385644,0.3787215,0.3520339
0.4212614,0.3985182,0.3714642,0.4219358,0.3978688,0.3758438
0.5127593,0.4957513,0.5116672,0.4233219,0.4926214,0.5146268
0.52873,0.5410892,0.5100106,0.416129,0.5475883,0.5217295
0.6581976,0.581652,0.5971424,0.4609126,0.5672523,0.5820991
0.426182,0.4174005,0.4045224,0.4640984,0.4126881,0.3997145
0.6650573,0.6308191,0.7239989,0.5946329,0.6286356,0.7190375
0.5014758,0.512963,0.5374814,0.512703,0.5048573,0.5275652
0.396691,0.3920024,0.3563721,0.4167239,0.3860245,0.3496334
0.3759339,0.3456492,0.3024211,0.4030094,0.3417909,0.2991539
0.5022682,0.5501967,0.5041264,0.4293388,0.5538008,0.5125062
0.655076,0.626707,0.6793083,0.5977956,0.6676637,0.7422578
0.7024144,0.6918342,0.8143413,0.7286752,0.6906928,0.8143038
0.3815923,0.3775958,0.3302312,0.4230232,0.3758087,0.3311683
0.3869172,0.3724661,0.3391551,0.4184541,0.3487884,0.3066781
0.5226372,0.5229051,0.5535764,0.462724,0.5044805,0.5227246
0.3842915,0.4018399,0.3288856,0.4161636,0.4015455,0.3299142
0.4446609,0.4276873,0.4235224,0.4269136,0.4247496,0.4174984
0.7664164,0.7912957,0.9089906,0.7464561,0.8452308,0.9823414
0.5958152,0.6509888,0.4846327,0.4321569,0.6297262,0.4827192
0.5118065,0.454246,0.4589342,0.5059115,0.4830858,0.5054114
0.3610556,0.3426773,0.2898523,0.3967205,0.3413432,0.2911825
0.5311703,0.5120067,0.5385614,0.5381132,0.4935556,0.5141317
0.3837056,0.3767904,0.3383259,0.4212846,0.3650496,0.3238418
0.3570271,0.3434011,0.2917722,0.397545,0.3394533,0.2892432
0.3920125,0.3576805,0.3076774,0.4070539,0.3641199,0.3206769
0.526352,0.4961717,0.5082998,0.4153803,0.4978048,0.5263473
0.3614786,0.3547492,0.3048988,0.4052909,0.3484646,0.2987199
0.4014445,0.4287337,0.3845804,0.4777598,0.4372389,0.399931
0.542693,0.5825577,0.6229536,0.5950312,0.5683193,0.6037423
0.3910884,0.3619008,0.3162018,0.4110299,0.3623171,0.3205397
0.3578548,0.3364771,0.2803294,0.3897392,0.3329869,0.278414
0.4457666,0.4306345,0.4153028,0.3894481,0.4268562,0.4063015
0.4944353,0.5332305,0.5720375,0.6418453,0.5341871,0.57672
0.3853612,0.3718964,0.3330397,0.3999412,0.3706173,0.3336493
0.3518625,0.3456986,0.2803929,0.3893488,0.3421546,0.278406
0.3959225,0.3953112,0.3657819,0.464261,0.3912948,0.3630633
0.4694927,0.4822612,0.49622,0.5153964,0.4744227,0.4867088
0.3740054,0.3608534,0.3097751,0.4016873,0.3624594,0.3149124
0.3871044,0.3540166,0.3132083,0.4124689,0.3571142,0.3203232
0.5163583,0.5689546,0.4980139,0.4521389,0.5792982,0.513823
0.4978261,0.5449477,0.4718119,0.4110029,0.5469661,0.4851521
0.4825235,0.5352222,0.5684002,0.628288,0.5251629,0.556374
0.4631676,0.4868828,0.5050481,0.5671544,0.4858376,0.5063398
0.3764915,0.3623309,0.316919,0.419203,0.3646627,0.3231169
0.4120857,0.3805058,0.3481095,0.4386168,0.3899442,0.3640296
0.4160026,0.3748307,0.3363243,0.4394865,0.3881975,0.3595509
0.4289049,0.4685639,0.408458,0.4340335,0.4608992,0.3975082
0.4982407,0.4964905,0.501036,0.4138032,0.5027836,0.5037411
0.3741184,0.3458637,0.2992236,0.40036,0.3369972,0.2893238
0.3521269,0.3373597,0.2803941,0.3896301,0.3337956,0.2784141
0.5116061,0.5182512,0.4868153,0.4101418,0.5167098,0.4853424
0.5158554,0.5288988,0.5299475,0.4389825,0.5242775,0.5264256
0.4205309,0.4205981,0.3982343,0.4699546,0.434554,0.4214573
0.5210772,0.5976856,0.5356671,0.4528643,0.6044942,0.5440358
0.3808188,0.3539284,0.3060371,0.4052832,0.3527805,0.3076257
0.3955461,0.3950523,0.3652543,0.4413691,0.3815636,0.3481127
0.6313112,0.7141454,0.8019202,0.7256333,0.7207986,0.8125431
0.3743339,0.3620454,0.3187981,0.4065483,0.3545098,0.3106757
0.5849197,0.5893103,0.5951666,0.4884877,0.5991813,0.6054461
0.413082,0.4098699,0.3861176,0.4715266,0.4116651,0.3919248
0.7638564,0.7201062,0.7404844,0.5629517,0.7177426,0.7380618
0.4690067,0.4412524,0.4385817,0.4071561,0.4453238,0.4325654
0.727779,0.8816063,0.9904587,0.7425991,0.7900083,0.8536966
0.3660942,0.3492585,0.2989186,0.4003158,0.345092,0.2958577
0.5629464,0.499746,0.5154745,0.4979869,0.5247846,0.556305
0.4064967,0.4154103,0.393963,0.4959693,0.4120025,0.3922172
0.4175135,0.4378442,0.4287735,0.5202674,0.4364495,0.429889
