V,VA1,VA2,B,BA1,BA2
0.69234959,0.7563324,0.7237507,0.79077004,0.7563324,0.64848373
0.72750327,0.6737164,0.67365004,0.66006665,0.6737164,0.70214611
0.59105431,0.53726976,0.50386486,0.55290947,0.53726976,0.51830984
0.69074059,0.75839631,0.7215409,0.7608741,0.75839631,0.66383122
0.60200025,0.51781321,0.47053305,0.57013655,0.51781321,0.49752877
0.50402194,0.54612298,0.58563798,0.47882,0.54612298,0.66119722
0.61908787,0.6241041,0.58794025,0.51526021,0.6241041,0.66470594
0.21291418,0.3398081,0.37185801,0.30781209,0.3398081,0.47286816
0.34250937,0.31016301,0.29396521,0.33846445,0.31016301,0.3447463
0.1719572,0.19799131,0.183928,0.21871007,0.19799131,0.2259129
0.28504967,0.34210432,0.2748583,0.37728543,0.34210432,0.26191908
0.40294466,0.43493701,0.43378022,0.38702648,0.43493701,0.41110671
0.53464697,0.48536872,0.50016871,0.49048636,0.48536872,0.55607915
0.83443021,0.8433435,0.82486308,0.76839787,0.8433435,0.83020112
0.35459522,0.31920119,0.3357683,0.3306279,0.31920119,0.39434179
0.68356174,0.71525494,0.66894486,0.74758152,0.71525494,0.66951584
0.30146435,0.25849912,0.22295752,0.32793307,0.25849912,0.26036748
0.40466507,0.53779512,0.59637448,0.42244793,0.53779512,0.56134117
0.79768489,0.83837241,0.80851144,0.74792893,0.83837241,0.82290933
0.90951565,0.87182716,0.84619263,0.89691128,0.87182716,0.91375984
0.48175702,0.51681358,0.44777504,0.52378833,0.51681358,0.39777786
0.36118758,0.47769167,0.53672158,0.46636966,0.47769167,0.57177068
0.15907732,0.21691105,0.17496449,0.25197757,0.21691105,0.14485512
0.8972747,0.86788736,0.90036579,0.88485602,0.86788736,0.8724831
0.24055538,0.31620156,0.33318007,0.31655922,0.31620156,0.27961909
0.67837604,0.74480709,0.69563672,0.69249501,0.74480709,0.7435
0.54887273,0.45460444,0.46961617,0.49642369,0.45460444,0.54160186
0.73050682,0.69518536,0.70144367,0.72519286,0.69518536,0.73864054
0.37171834,0.25840195,0.18036207,0.34185602,0.25840195,0.19292531
0.64524385,0.54487073,0.55455835,0.56879842,0.54487073,0.64856261
0.58481936,0.54166161,0.54328643,0.58140176,0.54166161,0.58009095
0.84442647,0.80940335,0.77515361,0.81571324,0.80940335,0.83301656
0.13607759,0.17748486,0.16680236,0.22499975,0.17748486,0.17001179
0.21127713,0.16789344,0.15513286,0.2183853,0.16789344,0.14685584
0.52003405,0.58529894,0.60994005,0.53714105,0.58529894,0.51986653
0.49429883,0.59028837,0.61030547,0.5213426,0.59028837,0.68214605
0.13153311,0.14284217,0.1040519,0.2638506,0.14284217,0.10496454
0.76984591,0.73039368,0.73002544,0.70658304,0.73039368,0.74666479
0.28740236,0.27287942,0.18188816,0.37557073,0.27287942,0.19264799
0.74911267,0.75928342,0.71306429,0.80873042,0.75928342,0.74750685
0.45708931,0.41658638,0.33266623,0.41201711,0.41658638,0.31757184
0.43841062,0.34455349,0.26472665,0.45897603,0.34455349,0.26553703
0.91080931,0.83624921,0.92296469,0.77669034,0.83624921,0.92561537
0.28969515,0.28913047,0.29826281,0.33306398,0.28913047,0.30190462
0.37605748,0.36028579,0.28481809,0.42633272,0.36028579,0.26380422
0.20745958,0.19342096,0.16201329,0.28906271,0.19342096,0.14304873
0.51290307,0.44029261,0.37452201,0.50897003,0.44029261,0.3670148
0.24527303,0.25211988,0.26299817,0.2247883,0.25211988,0.26035343
0.2219645,0.32528091,0.35991808,0.32124918,0.32528091,0.35422929
0.43046084,0.34488748,0.32239955,0.40081268,0.34488748,0.3748249
