V,VA1,VA2,B,BA1,BA2
0.7078685,0.7092832,0.7092832,0.6384296,0.8309595,0.85561139
0.677293,0.7149791,0.7149791,0.5407608,0.7525926,0.7695227
0.8204226,0.7956885,0.7956885,0.87733,0.8045197,0.83972893
0.8017798,0.7204339,0.7204339,0.8350604,0.7953256,0.78311369
0.5069886,0.3835385,0.3835385,0.4822326,0.4956383,0.47957428
0.5072039,0.3393888,0.3393888,0.4709969,0.4395467,0.42339533
0.7005388,0.5433491,0.5433491,0.8012544,0.6678693,0.65217035
0.5308296,0.511197,0.511197,0.5837727,0.6789084,0.65764646
0.3130005,0.3145302,0.3145302,0.3832574,0.4006268,0.37081933
0.3996828,0.3511075,0.3511075,0.4814205,0.5099246,0.47953227
0.5033506,0.3321305,0.3321305,0.4791077,0.4427059,0.42540688
0.5392714,0.4262288,0.4262288,0.5394425,0.5198657,0.50229644
0.5078315,0.3570687,0.3570687,0.4912864,0.47385,0.45638506
0.5007805,0.3344863,0.3344863,0.4873947,0.4440885,0.42995898
0.7766202,0.7345461,0.7345461,0.7727094,0.9095602,0.93997716
0.6610214,0.7351531,0.7351531,0.715355,0.8109638,0.80487784
0.9133344,0.9925569,0.9925569,0.9118383,0.857026,0.85702601
0.8251216,0.8613538,0.8613538,0.8847408,0.8918422,0.96067018
0.7950113,0.8492108,0.8492108,0.7102103,0.7319549,0.73953658
0.5048749,0.3321311,0.3321311,0.4802482,0.4426491,0.42539889
0.5046667,0.358503,0.358503,0.4954181,0.4751305,0.46114943
0.5044435,0.3585069,0.3585069,0.5028796,0.4749511,0.46113891
0.5495625,0.4383352,0.4383352,0.5478356,0.5210299,0.50755452
0.5006757,0.3343914,0.3343914,0.4873516,0.4438234,0.42982326
0.7319679,0.7159125,0.7159125,0.6740895,0.6370091,0.61577636
0.5293032,0.5492299,0.5492299,0.6373414,0.6602742,0.63943086
0.3873996,0.407295,0.407295,0.4173145,0.5051446,0.48486793
0.3490082,0.3083917,0.3083917,0.3527296,0.4054601,0.38320974
0.3440469,0.3331726,0.3331726,0.3582618,0.4306516,0.4114217
0.4201248,0.404488,0.404488,0.4456892,0.6049578,0.5866942
