V,VA1,VA2,B,BA1,BA2
0.9306098,0.9934374,0.9934986,0.934475,0.9885348,0.9876155
0.8743383,0.946308,0.9388041,0.9022487,0.9469432,0.9395664
0.900985,0.998677,0.9984125,0.9265176,0.9930107,0.9916129
0.9456665,0.9385118,0.9262142,0.9538502,0.9899516,0.987942
0.9243046,0.9634019,0.9561432,0.9248263,0.9879746,0.9856304
0.8714951,0.934054,0.9547172,0.8391682,0.9189736,0.9366207
0.9316816,0.9595965,0.9744168,0.9618591,0.979507,0.9983094
0.8755467,0.977926,0.9896641,0.8570006,0.9718806,0.9824095
0.852019,0.871886,0.8968272,0.8642792,0.871891,0.8968332
0.8697186,0.9519531,0.978004,0.8597446,0.9579244,0.9851696
0.8485953,0.9793201,0.9836839,0.8848919,0.9810684,0.9857818
0.9187931,0.9870124,0.98456,0.9424692,0.9862682,0.9836669
0.8418157,0.9543722,0.9900439,0.8357469,0.9541547,0.9897829
0.9999005,0.999852,0.9998224,0.9995442,0.9998867,0.9998641
0.9998463,0.9998277,0.9997933,0.999784,0.9998277,0.9997933
0.8211162,0.9117928,0.9967795,0.7964935,0.9136071,0.9989566
0.851879,0.9651705,0.9859464,0.8626429,0.9540023,0.9725445
0.9950455,0.9873223,0.9848317,0.9755331,0.9775104,0.9730574
0.8412416,0.8901337,0.9887225,0.7976642,0.8740935,0.9694743
0.8377002,0.9277578,0.9673994,0.8187825,0.9525525,0.997153
0.3358765,0.4182563,0.4315426,0.3625366,0.4016533,0.411619
0.3399256,0.3057867,0.3070399,0.3209657,0.2799113,0.2759894
0.2275872,0.1991634,0.1734519,0.2525966,0.1984325,0.1725748
0.656895,0.6405736,0.6439084,0.6207432,0.6153152,0.6135982
0.4983507,0.4186475,0.427093,0.442198,0.4075172,0.4137367
0.9737342,0.9510482,0.9412578,0.9350572,0.9781218,0.9737461
0.2553983,0.2538277,0.2502199,0.2688827,0.2735539,0.2738912
0.3592891,0.3202994,0.2763446,0.342079,0.2942841,0.2451263
0.4539363,0.5477474,0.5773325,0.5082844,0.5553324,0.5864346
0.4359947,0.5346797,0.5665961,0.5343066,0.5651331,0.6031402
0.3997307,0.3210257,0.3326937,0.4188027,0.3514977,0.3692601
0.3744329,0.4344916,0.4686701,0.3797923,0.4048583,0.4331101
0.3140928,0.3157603,0.3288528,0.3278959,0.3171362,0.3305039
0.3806578,0.3467091,0.3421377,0.3553484,0.3427223,0.3373535
0.3036793,0.2673149,0.2473631,0.274314,0.2806986,0.2634236
0.3972464,0.4192008,0.4014271,0.4391063,0.3866585,0.3623764
0.2549347,0.2249975,0.2110371,0.2323473,0.2068158,0.189219
0.535094,0.4973352,0.5046379,0.4487105,0.4458035,0.4427999
0.3909272,0.3792607,0.3295899,0.3781075,0.3786386,0.3288434
0.3570099,0.2982873,0.2634156,0.3928832,0.3165909,0.28538
0.3426616,0.3004523,0.297789,0.3684906,0.3203894,0.3217135
0.4788525,0.5409178,0.5725895,0.460203,0.4559616,0.4706421
0.7337503,0.7098252,0.6615449,0.7455087,0.8185947,0.7920683
0.2670223,0.2496726,0.2166708,0.2803338,0.2346907,0.1986925
0.3250204,0.4140041,0.433231,0.3696558,0.3871356,0.4009888
0.907003,0.8769248,0.9437227,0.8915429,0.9120221,0.9858395
0.5196567,0.6451655,0.6530669,0.6126297,0.6122516,0.6135702
0.6092144,0.585113,0.6122033,0.5447335,0.5932188,0.6219303
0.272189,0.2570191,0.2030117,0.3079688,0.2970143,0.251006
0.252669,0.2466107,0.1792248,0.2572942,0.2693692,0.206535
0.6020865,0.5722373,0.6849199,0.5460555,0.5034,0.6023151
0.2475826,0.2303397,0.1991361,0.2612112,0.2495025,0.2221314
0.2703156,0.2314685,0.2067507,0.2814017,0.2507665,0.2299083
0.7264755,0.8784978,0.9848522,0.7149451,0.8591528,0.9616382
0.4829278,0.4526398,0.4220885,0.4418778,0.4799584,0.4548708
0.271188,0.2814844,0.2750892,0.3091832,0.3078026,0.306671
0.2690378,0.2706517,0.2474022,0.2598174,0.279533,0.2580598
0.4174956,0.4495156,0.4622339,0.4180417,0.3651175,0.3609562
0.306376,0.3055729,0.2909784,0.3860753,0.3544,0.3495709
0.3690831,0.3802211,0.3707476,0.3982416,0.3754136,0.3649786
0.56499,0.5210792,0.5066893,0.5132589,0.5137985,0.4979524
0.1927541,0.1657763,0.1666199,0.1848863,0.1694846,0.1710699
0.2110463,0.191209,0.1634934,0.2152793,0.2003606,0.1744753
0.4542021,0.355944,0.3378424,0.36394,0.4256542,0.4214946
0.2587737,0.2620003,0.2125138,0.3139244,0.2990982,0.2570313
0.4434556,0.3929722,0.4272093,0.4231838,0.3766244,0.4075919
0.3205666,0.2804781,0.2632026,0.3059442,0.2734664,0.2547885
0.3032643,0.2953299,0.2879136,0.3151694,0.2422542,0.2242228
0.5414258,0.5029941,0.4606201,0.4949217,0.4648527,0.4148504
0.4728067,0.4298581,0.3324098,0.4622659,0.4399093,0.3444712
0.2961911,0.2703004,0.2112748,0.3047551,0.268928,0.2096278
0.7237823,0.6126604,0.5455771,0.6494141,0.6225962,0.5575
0.3093846,0.2969972,0.2686265,0.3282432,0.3216787,0.2982443
0.7494933,0.8477248,0.8821323,0.7524352,0.8182495,0.846762
0.3491213,0.3596891,0.3848596,0.3409759,0.3190465,0.3360885
0.2810381,0.287507,0.2900887,0.3080306,0.2982288,0.3029549
0.2838035,0.265778,0.2802146,0.2956874,0.2726715,0.2884868
0.4531511,0.478726,0.5202003,0.446248,0.4835147,0.5259468
0.2722705,0.3487116,0.3875407,0.3580464,0.3716235,0.4150349
0.3521132,0.3863835,0.3718189,0.3872494,0.3984652,0.3863169
0.3392034,0.3099376,0.2689972,0.338634,0.313224,0.2729409
0.3226176,0.3733508,0.3608946,0.372095,0.3929346,0.3843951
0.3922093,0.5195472,0.5468126,0.4801102,0.5483078,0.5813254
0.4139173,0.4184344,0.440582,0.3870238,0.3828553,0.3978871
0.2921461,0.2620299,0.2191016,0.3016145,0.2755648,0.2353434
0.4992568,0.4127961,0.3672892,0.4319922,0.3810828,0.3292332
0.6699686,0.7646428,0.7710562,0.7151097,0.7673587,0.7743153
0.312732,0.2644837,0.1890551,0.3807994,0.3446497,0.2852543
0.2419101,0.1810714,0.1676258,0.250965,0.2247732,0.2200679
0.3270227,0.2993401,0.2556048,0.3862262,0.3287288,0.2908712
0.2337422,0.2234427,0.180613,0.2774639,0.2752248,0.2427515
0.2973107,0.2790423,0.2717789,0.2917714,0.2862784,0.2804623
0.2981596,0.2690752,0.2787902,0.303537,0.3118028,0.3300633
0.3006705,0.2608962,0.2843354,0.2702514,0.2582362,0.2811434
0.6292455,0.564582,0.6330672,0.5369097,0.5338174,0.5961496
0.2100977,0.2067796,0.2127288,0.2168543,0.1917116,0.1946472
0.4313909,0.4844337,0.524016,0.4746946,0.5327299,0.5819714
0.5828597,0.715331,0.8217293,0.5939946,0.6973959,0.8002072
0.4081518,0.3903187,0.3727376,0.3654716,0.3504357,0.3248779
0.762247,0.6908732,0.7040115,0.6711467,0.6879934,0.7005559
0.6110229,0.6953437,0.7309629,0.6667719,0.6862911,0.7200998
0.5652117,0.5500116,0.5076435,0.5478,0.5733954,0.5357041
0.7294737,0.6738431,0.668033,0.6557208,0.7049634,0.7053774
0.4409986,0.5629776,0.6604497,0.440854,0.4360109,0.5080897
0.5822807,0.5893343,0.5799369,0.5585522,0.5680972,0.5544524
0.3982865,0.3453758,0.3454143,0.3518724,0.3659434,0.3700954
0.2819872,0.2240763,0.2045502,0.284058,0.2444832,0.2290385
0.9826061,0.9974372,0.9974905,0.9799489,0.996677,0.9965783
0.5649314,0.5392628,0.4913208,0.5591391,0.5739188,0.5329079
0.7429625,0.7209234,0.7366024,0.696063,0.732996,0.7510896
0.2992338,0.2500405,0.2088234,0.2807136,0.2318514,0.1869965
0.2276893,0.2152897,0.2237544,0.2270261,0.1879797,0.1909823
0.6515687,0.6020712,0.5735509,0.5886083,0.5817103,0.5491179
0.417953,0.4988407,0.5356738,0.4728837,0.5065264,0.5448966
0.2588301,0.2560066,0.2597034,0.3207585,0.2931722,0.3043022
0.6501453,0.6162029,0.5699463,0.5858549,0.5959622,0.5456575
0.8319488,0.7716878,0.7573025,0.7312865,0.7808848,0.7683388
0.4327197,0.386694,0.3647269,0.4334354,0.4324571,0.4196426
0.2894305,0.2687096,0.252712,0.3126419,0.2708461,0.2552757
0.6710099,0.6563085,0.7136334,0.5975047,0.6299534,0.6820073
0.353598,0.3491681,0.3192238,0.3326138,0.2883503,0.2462425
0.3871948,0.3743689,0.3261053,0.3731063,0.3739872,0.3256472
0.4476556,0.5589867,0.5681524,0.500029,0.5660566,0.5766362
0.3274878,0.3906887,0.4305449,0.3964307,0.3968988,0.4379969
0.3036882,0.2736076,0.258559,0.2716343,0.2608828,0.2432893
0.6349846,0.5997512,0.6181107,0.5743046,0.5698372,0.582214
0.4134664,0.4364224,0.4451683,0.4091646,0.4380063,0.4470689
0.5407072,0.6669859,0.7516735,0.5007048,0.5843564,0.6525181
0.6291883,0.7291414,0.7587269,0.6200351,0.672466,0.6907163
0.5832776,0.6335531,0.6627799,0.5850677,0.602873,0.6259638
0.429494,0.3926635,0.3617281,0.4150816,0.3900967,0.3586479
0.2826979,0.2649306,0.2550891,0.274727,0.227828,0.210566
0.3716194,0.2871531,0.2521096,0.3589435,0.3189902,0.2903141
0.4311808,0.5286065,0.5710612,0.4316733,0.4126,0.4318533
0.3780265,0.3832654,0.3352087,0.3825931,0.3666374,0.3152551
0.6169609,0.6301857,0.6609433,0.5518888,0.6156859,0.6435435
0.216382,0.1880341,0.1782711,0.2044991,0.18009,0.1687382
0.3146243,0.2972958,0.2870033,0.2981302,0.2911681,0.27965
0.6261424,0.7588716,0.8599101,0.6028528,0.715487,0.8078485
0.3278684,0.3684875,0.3633194,0.3811569,0.317367,0.3019748
0.3089154,0.3095325,0.2662934,0.3310856,0.3309182,0.2919562
0.7813756,0.7885283,0.8108576,0.7140592,0.8363305,0.8682202
0.7827239,0.7995756,0.7862603,0.744969,0.7755697,0.7574532
0.2316245,0.2026947,0.1954312,0.2612106,0.2058694,0.1992408
0.4573906,0.4124138,0.4286893,0.4495875,0.4004067,0.4142807
0.9990752,0.9996948,0.9996373,0.9985292,0.999908,0.9998932
0.3030536,0.303162,0.2816397,0.3300168,0.2916004,0.2677659
0.2357699,0.2238393,0.1961344,0.2545203,0.2335707,0.2078121
0.5367273,0.4843632,0.4156834,0.5592363,0.5553883,0.5009135
0.4593798,0.4717,0.4846509,0.4211084,0.4431101,0.450343
0.473033,0.5244123,0.447117,0.5336006,0.5367803,0.4619587
0.8917782,0.8284001,0.804511,0.8196246,0.8100223,0.7824577
0.2342788,0.1693145,0.1429708,0.2252509,0.1682432,0.1416853
0.4688451,0.4457875,0.5172139,0.407294,0.4388646,0.5089063
0.8452919,0.8292374,0.8009416,0.8500954,0.9068666,0.8940966
0.2874189,0.25559,0.2026051,0.2799564,0.2375727,0.1809843
0.7166293,0.847793,0.8525511,0.6848911,0.8220782,0.8216933
0.4727161,0.4515197,0.4726214,0.407749,0.4289708,0.4455628
0.9146473,0.8850893,0.8873951,0.8638278,0.8723739,0.8721366
0.3656512,0.5172288,0.5529226,0.4975236,0.5398601,0.5800802
0.4584209,0.5687968,0.6031447,0.5371785,0.6144379,0.657914
0.3082641,0.3414129,0.3407047,0.2991566,0.3044208,0.2963141
0.3121634,0.3080191,0.2504305,0.322502,0.2919168,0.2311078
0.9707601,0.9576765,0.9492122,0.9168602,0.954297,0.9451568
0.6650282,0.7159563,0.7218972,0.5831369,0.7133988,0.7188282
0.5444866,0.6786474,0.6843104,0.6267242,0.6956496,0.7047131
0.2541273,0.2118926,0.2236106,0.2376009,0.1923643,0.2001767
0.2935954,0.2732455,0.2539359,0.2805967,0.2407823,0.2149801
0.5349855,0.5788693,0.6233634,0.5189627,0.5839858,0.6295032
0.4947993,0.5256815,0.6007735,0.4761692,0.5189371,0.5926802
0.3457303,0.4412049,0.4727504,0.4057415,0.4331279,0.4630581
0.2763189,0.2548469,0.2529689,0.2920707,0.3064122,0.3148473
0.387809,0.3954006,0.4098693,0.3523621,0.3521354,0.3579509
0.6398387,0.6234456,0.5744478,0.6136426,0.6557909,0.6132623
0.7970174,0.8047955,0.767333,0.7646285,0.7878292,0.7469735
0.2788503,0.2405941,0.2055898,0.2620321,0.2558383,0.2238828
0.3666146,0.3369457,0.3177385,0.3893045,0.3156425,0.2921746
0.8218849,0.8623864,0.8694239,0.746559,0.7953562,0.7889878
0.6896765,0.639317,0.6286458,0.620842,0.6787381,0.675951
0.5383628,0.574496,0.5505421,0.5727547,0.5737932,0.5496987
0.3108803,0.3603274,0.3532044,0.4106278,0.3798401,0.3766197
0.5237835,0.5201243,0.4568862,0.5484273,0.4945291,0.4261719
0.7311884,0.8020034,0.9115497,0.6519419,0.755103,0.8552692
0.4272064,0.4439667,0.4421668,0.4161017,0.4285671,0.4236873
0.2651998,0.2238865,0.1740715,0.2776315,0.2600675,0.2174887
0.5996155,0.5864681,0.5456879,0.5681883,0.6254521,0.5924687
0.3088055,0.3257357,0.3166731,0.3166579,0.3002554,0.2860967
0.3780198,0.4371809,0.4976821,0.4270613,0.3801703,0.4292694
0.3342943,0.3079595,0.275409,0.33478,0.28579,0.2488056
0.5618843,0.6395605,0.6682014,0.6188941,0.7222646,0.7674464
0.3009925,0.3277158,0.3011153,0.3657955,0.3394789,0.3152311
0.335983,0.4118486,0.4371487,0.4401141,0.4344522,0.464273
0.2725149,0.2679098,0.26985,0.3095055,0.3069499,0.3166981
0.558991,0.4833896,0.4925049,0.5550913,0.6085476,0.6426944
0.6325859,0.5318647,0.5506784,0.5731021,0.5363507,0.5560615
0.276591,0.2544941,0.2595805,0.3053922,0.2591513,0.2651692
0.326457,0.3036375,0.2673194,0.3511659,0.3450768,0.3170466
0.2916514,0.2966272,0.2485225,0.3144102,0.2934648,0.2447275
0.780751,0.8556268,0.9467662,0.7449692,0.8558728,0.9470613
0.3616227,0.3829244,0.3726603,0.3596866,0.3468097,0.3293227
0.403837,0.3950608,0.374123,0.4298084,0.4439756,0.4328206
0.4467223,0.4409409,0.4879002,0.3785496,0.4171039,0.4592958
0.2183445,0.2104708,0.1897062,0.2423735,0.186635,0.1611032
0.7654019,0.8191298,0.8388981,0.7718313,0.7839526,0.7966853
0.3571679,0.3169233,0.3264497,0.3757919,0.3642479,0.3832393
0.4084505,0.3354461,0.2945891,0.3864339,0.3360306,0.2952904
0.2596445,0.2218476,0.179486,0.2544931,0.2160118,0.172483
0.2884299,0.2585914,0.2577973,0.254816,0.2594667,0.2588477
0.6153432,0.6886154,0.7058366,0.6002886,0.6464205,0.6552028
0.2904541,0.3298922,0.2794727,0.3614279,0.4036763,0.3680136
0.4569342,0.3555614,0.3643861,0.4722362,0.3179059,0.3191995
0.5308594,0.5582268,0.5580997,0.5665378,0.5849557,0.5901744
0.6792188,0.6977189,0.6504159,0.7096109,0.7201996,0.6773927
0.4107765,0.3858774,0.3384963,0.4035616,0.4192155,0.378502
0.5217577,0.6296176,0.6562523,0.5486928,0.630266,0.6570303
0.433825,0.4155279,0.3677715,0.3910748,0.441124,0.3984868
0.3337568,0.331616,0.3104613,0.3761559,0.3529917,0.3361121
0.2821093,0.2690328,0.2874132,0.2884013,0.2620414,0.2790235
0.2193071,0.1998398,0.1966026,0.2504744,0.2475871,0.2538993
0.4605224,0.5206111,0.512136,0.5539549,0.5378472,0.5328194
0.5186017,0.4849633,0.4593709,0.5640362,0.5852307,0.5796919
0.2613648,0.2767009,0.2983712,0.2983196,0.2970047,0.3227357
0.483215,0.4513883,0.3999005,0.4577173,0.4626025,0.4133576
0.2911441,0.2591012,0.2340473,0.3690027,0.3463574,0.3387547
0.2187362,0.1929982,0.1610034,0.200728,0.1849518,0.1513477
0.192178,0.161831,0.1541316,0.1922376,0.1713169,0.1655147
0.5169373,0.4648757,0.4041645,0.490277,0.4886221,0.4326602
0.214868,0.1837471,0.1429563,0.210463,0.1898863,0.1503234
0.2751229,0.2776366,0.269251,0.3087724,0.2886498,0.2824668
0.9477298,0.9937544,0.9925063,0.9425963,0.9893308,0.9871981
0.2592947,0.2432566,0.222753,0.2710943,0.2452037,0.2250894
0.8048354,0.8147059,0.779207,0.8149297,0.8294412,0.7968893
0.3971855,0.4813686,0.484016,0.4424457,0.4447332,0.4400535
0.3556736,0.3272281,0.3089914,0.3273942,0.3629176,0.3518188
0.3287824,0.3108405,0.2728538,0.3626176,0.3634536,0.3359895
0.3134684,0.2628536,0.2421931,0.2912044,0.2791966,0.2618047
0.3034997,0.2747605,0.176646,0.2973043,0.2965546,0.202799
0.6046465,0.6483612,0.6657784,0.6087935,0.7013823,0.7294037
0.6249089,0.5389453,0.5001458,0.587008,0.5612973,0.5269683
0.4145374,0.4909193,0.5037855,0.4580446,0.4892693,0.5018056
0.999917,0.9999189,0.9999026,0.9731036,0.9586206,0.9503447
0.6604115,0.6473714,0.7753289,0.5963941,0.5399599,0.6464351
0.4059794,0.510826,0.5843814,0.4679532,0.4449971,0.5053868
0.5295694,0.4398031,0.4344791,0.4284089,0.4333703,0.4267597
0.5380723,0.5164679,0.5184536,0.5105812,0.5218929,0.5249635
0.2346303,0.2178256,0.2242207,0.2347648,0.2084297,0.2129457
0.4327045,0.3918981,0.3563303,0.4014789,0.3693113,0.3292262
0.3108843,0.2933226,0.3013411,0.3435142,0.286604,0.2932788
0.7862424,0.767148,0.8008628,0.7374735,0.7756908,0.8111142
0.9820487,0.9997011,0.9996413,0.986956,0.9986014,0.9983217
0.6120719,0.5631395,0.5568202,0.5661229,0.5292722,0.5161794
0.4861019,0.6183163,0.6035789,0.6163049,0.6831697,0.681403
0.4771814,0.5835688,0.6381336,0.544129,0.5213316,0.563449
0.3024153,0.287176,0.2550882,0.3175047,0.2940157,0.2632958
0.3589145,0.461621,0.4712737,0.421879,0.5051354,0.5234909
0.779188,0.7257282,0.7495061,0.7752459,0.7494145,0.7779296
0.8242071,0.8409205,0.9295876,0.8189807,0.8812177,0.9779442
0.3990078,0.4002106,0.3984269,0.3570753,0.3032996,0.2821337
0.3158905,0.2574449,0.2266049,0.2934675,0.2670554,0.2381375
0.5008164,0.5715919,0.6682972,0.4834581,0.4756964,0.5532226
0.5837296,0.5036834,0.4805432,0.5312498,0.4939662,0.4688825
0.5550989,0.5549871,0.4981527,0.528316,0.5780027,0.5257714
0.7656112,0.7825903,0.7451654,0.7956241,0.7953211,0.7604423
0.3267972,0.3858835,0.4030396,0.3805441,0.4222903,0.4467277
0.3980468,0.3675648,0.3158889,0.3933246,0.3810353,0.3320535
0.3943579,0.3738161,0.3052424,0.3773885,0.3883316,0.3226609
0.2604871,0.2472629,0.2232418,0.2715142,0.2458607,0.2215593
0.8421319,0.9012333,0.921459,0.834567,0.8518508,0.8622
0.282878,0.2735242,0.2580538,0.3233625,0.3391511,0.3368061
0.5826369,0.518199,0.5324818,0.5660977,0.5280906,0.5443517
0.8239072,0.7787445,0.7653823,0.7984418,0.882631,0.8900461
0.6569288,0.6687423,0.6885285,0.6628852,0.6452643,0.660355
0.276502,0.2479319,0.2424966,0.2803031,0.264637,0.2625427
0.2566741,0.2804448,0.241651,0.2887192,0.24396,0.1978693
0.7512466,0.6790743,0.6422349,0.6414219,0.6395888,0.5948523
0.3566345,0.3023436,0.264543,0.3359848,0.2704193,0.2262338
0.3206577,0.2842618,0.2884015,0.3092246,0.314955,0.3252334
0.5840341,0.5195197,0.430067,0.5964015,0.6041113,0.5315769
0.5296807,0.6051656,0.6354321,0.545274,0.5420499,0.5596932
0.3418698,0.3158912,0.2750848,0.3170654,0.2939968,0.2488114
0.2804318,0.2466338,0.2003072,0.2868571,0.2502147,0.2046043
0.3335776,0.3385378,0.3343061,0.4305819,0.365121,0.366206
0.3039805,0.2738646,0.2743956,0.2988613,0.2653594,0.2641894
0.2405638,0.2556415,0.222255,0.2567934,0.2249775,0.1854583
0.5606765,0.7160112,0.7714853,0.5988134,0.6809581,0.7294216
0.5534883,0.5315558,0.5331926,0.5286926,0.5163576,0.5149548
0.2198619,0.2192686,0.225352,0.2401412,0.2326771,0.2414422
0.3473238,0.3672683,0.3186136,0.3513915,0.3527737,0.3012202
0.2897198,0.293461,0.3167336,0.3323064,0.3162522,0.3440831
0.2719801,0.3037959,0.304193,0.2995537,0.2947042,0.293283
0.3836368,0.3741018,0.2936697,0.378458,0.3651059,0.2828745
0.2882607,0.2751351,0.2213324,0.3042107,0.2570284,0.1996043
0.3671633,0.3042611,0.3280657,0.3417243,0.3102481,0.3352502
0.8618835,0.8546397,0.8256903,0.8632387,0.9071002,0.8886429
0.3250534,0.3407049,0.2697867,0.3909128,0.3593854,0.2922034
0.4910456,0.5390183,0.5750121,0.4839886,0.5335886,0.5684964
0.6537578,0.6997346,0.8337071,0.6177384,0.6135417,0.7302756
0.5654644,0.6437407,0.6461067,0.6328584,0.6157318,0.612496
0.4311351,0.4562698,0.4678183,0.4650999,0.4720303,0.4867308
0.3360623,0.3542521,0.38644,0.3638501,0.2786093,0.2956686
0.2285516,0.1984954,0.1629149,0.2471358,0.2094523,0.1760632
0.5113418,0.6535887,0.7347077,0.5575605,0.559385,0.6216633
0.3723951,0.3042077,0.2821948,0.3597401,0.3390908,0.3240545
0.2577287,0.2301147,0.2102328,0.3019538,0.2846858,0.2757181
0.9120213,0.9824725,0.9897034,0.9334912,0.9898227,0.9985236
0.3663855,0.3188834,0.3136056,0.3890327,0.3531542,0.3547306
0.9038883,0.9463293,0.9356031,0.8728447,0.8486846,0.8184294
0.2705131,0.2219303,0.1927654,0.2670332,0.2529619,0.2300034
0.5941577,0.594883,0.6577283,0.5608178,0.5926716,0.6550746
0.8823229,0.9646821,0.9576185,0.8944703,0.9828189,0.9793827
0.2604998,0.2076207,0.1755185,0.2725937,0.2174769,0.1873459
0.3851566,0.4276032,0.4960628,0.3988268,0.3848392,0.444746
0.2292466,0.2179823,0.2120763,0.2399013,0.1983732,0.1885453
