V,VA1,VA2,B,BA1,BA2
0.6779361,0.6229871,0.6055273,0.560289,0.6229871,0.6055273
0.496755,0.4631347,0.484013,0.5217874,0.4631347,0.484013
0.7296125,0.6192413,0.6276334,0.5528854,0.6192413,0.6276334
0.2629938,0.2921864,0.3103483,0.3043542,0.2921864,0.3103483
0.2500768,0.2905824,0.3055862,0.3346263,0.2905824,0.3055862
0.3423352,0.407476,0.3669314,0.4122945,0.407476,0.3669314
0.2257618,0.2440096,0.2668811,0.2760804,0.2440096,0.2668811
0.8025169,0.6889064,0.6935544,0.6079094,0.6889064,0.6935544
0.4431029,0.4781365,0.5029528,0.5620371,0.4781365,0.5029528
0.206665,0.2524392,0.2549916,0.3056779,0.2524392,0.2549916
0.3790786,0.3866453,0.3754544,0.4197608,0.3866453,0.3754544
0.4648557,0.3946908,0.4319519,0.405856,0.3946908,0.4319519
0.2362584,0.3108558,0.2960422,0.3118568,0.3108558,0.2960422
0.2357092,0.2621148,0.277782,0.2920644,0.2621148,0.277782
0.3737763,0.365008,0.3756949,0.3589834,0.365008,0.3756949
0.2101313,0.2810725,0.2811286,0.3061376,0.2810725,0.2811286
0.2403912,0.3210253,0.2752397,0.324207,0.3210253,0.2752397
0.3758376,0.3423545,0.3800493,0.3043596,0.3423545,0.3800493
0.8508534,0.7598863,0.7695265,0.6998112,0.7598863,0.7695265
0.3509681,0.3571482,0.4190564,0.3632882,0.3571482,0.4190564
0.3241835,0.3209019,0.3333806,0.4197076,0.3209019,0.3333806
0.2554637,0.3095662,0.2894076,0.3258434,0.3095662,0.2894076
0.2521725,0.272288,0.3412887,0.3519613,0.272288,0.3412887
0.2615213,0.3069637,0.3007047,0.3206911,0.3069637,0.3007047
0.2923073,0.3391371,0.2995975,0.3505421,0.3391371,0.2995975
0.7386972,0.6687749,0.6940164,0.6261063,0.6687749,0.6940164
0.190669,0.2427425,0.2369077,0.2616261,0.2427425,0.2369077
0.3711923,0.4757645,0.3713537,0.4377348,0.4757645,0.3713537
