V,VA1,VA2,B,BA1,BA2
0.2064592,0.2025039,0.2025039,0.2397754,0.2025039,0.2025039
0.2215852,0.2031326,0.2031326,0.3420449,0.2031326,0.2031326
0.4260623,0.4168758,0.4168758,0.4293283,0.4168758,0.4168758
0.2244932,0.2128775,0.2128775,0.2717738,0.2128775,0.2128775
0.433225,0.4751683,0.4751683,0.415518,0.4751683,0.4751683
0.454613,0.3856285,0.3856285,0.4172616,0.3856285,0.3856285
0.3587266,0.3407066,0.3407066,0.3981522,0.3407066,0.3407066
0.355863,0.4347373,0.4347373,0.3802495,0.4347373,0.4347373
0.6948712,0.7165008,0.7165008,0.6992141,0.7165008,0.7165008
0.6309124,0.6866601,0.6866601,0.5880777,0.6866601,0.6866601
0.1914547,0.1938376,0.1938376,0.2094411,0.1938376,0.1938376
0.9028294,0.8893162,0.8893162,0.8621423,0.8893162,0.8893162
0.5725787,0.5487387,0.5487387,0.4806878,0.5487387,0.5487387
0.9189693,0.9928766,0.9928766,0.8110848,0.9928766,0.9928766
0.3100952,0.3159189,0.3159189,0.2766576,0.3159189,0.3159189
0.3862033,0.352702,0.352702,0.3749438,0.352702,0.352702
0.6579419,0.5710682,0.5710682,0.5971833,0.5710682,0.5710682
0.3277969,0.3264446,0.3264446,0.3280505,0.3264446,0.3264446
0.2010558,0.2263958,0.2263958,0.2287709,0.2263958,0.2263958
0.3099985,0.3084844,0.3084844,0.3201433,0.3084844,0.3084844
0.8372605,0.8286679,0.8286679,0.8106802,0.8286679,0.8286679
0.3686112,0.3371964,0.3371964,0.3762825,0.3371964,0.3371964
0.1632831,0.1765987,0.1765987,0.1821155,0.1765987,0.1765987
0.5102343,0.4464042,0.4464042,0.4879631,0.4464042,0.4464042
0.4480076,0.3878089,0.3878089,0.4771032,0.3878089,0.3878089
0.1975163,0.1830133,0.1830133,0.2278495,0.1830133,0.1830133
0.3007675,0.3378335,0.3378335,0.3210709,0.3378335,0.3378335
0.2167994,0.2276316,0.2276316,0.254642,0.2276316,0.2276316
0.2692116,0.2950027,0.2950027,0.2471597,0.2950027,0.2950027
0.614324,0.5367337,0.5367337,0.611115,0.5367337,0.5367337
0.3570173,0.3784188,0.3784188,0.3585544,0.3784188,0.3784188
0.7399488,0.7049984,0.7049984,0.6405183,0.7049984,0.7049984
0.2327684,0.2474414,0.2474414,0.2783297,0.2474414,0.2474414
0.1773582,0.1549242,0.1549242,0.2223559,0.1549242,0.1549242
0.2329577,0.2267712,0.2267712,0.2682716,0.2267712,0.2267712
0.22994,0.2376204,0.2376204,0.294371,0.2376204,0.2376204
0.2865631,0.2983439,0.2983439,0.2741071,0.2983439,0.2983439
0.1774376,0.1982435,0.1982435,0.2137587,0.1982435,0.1982435
0.1591786,0.1731745,0.1731745,0.1948784,0.1731745,0.1731745
0.637013,0.5653934,0.5653934,0.5514182,0.5653934,0.5653934
0.1815764,0.1785413,0.1785413,0.2038587,0.1785413,0.1785413
0.1704195,0.1759865,0.1759865,0.2170539,0.1759865,0.1759865
0.8994731,0.8868838,0.8868838,0.8507343,0.8868838,0.8868838
0.3662742,0.3334261,0.3334261,0.3828816,0.3334261,0.3334261
0.4325605,0.3618954,0.3618954,0.4194975,0.3618954,0.3618954
0.1286856,0.131664,0.131664,0.1767944,0.131664,0.131664
0.5720507,0.5155106,0.5155106,0.5432788,0.5155106,0.5155106
0.2758556,0.3180351,0.3180351,0.2601412,0.3180351,0.3180351
0.690181,0.7898915,0.7898915,0.639251,0.7898915,0.7898915
0.4862905,0.4632124,0.4632124,0.5124407,0.4632124,0.4632124
0.4284335,0.3960644,0.3960644,0.4121092,0.3960644,0.3960644
0.1811464,0.1793927,0.1793927,0.195356,0.1793927,0.1793927
0.1395502,0.1279003,0.1279003,0.201897,0.1279003,0.1279003
0.3007568,0.3198788,0.3198788,0.292267,0.3198788,0.3198788
0.3316772,0.3584448,0.3584448,0.3214985,0.3584448,0.3584448
0.613818,0.5475296,0.5475296,0.5835632,0.5475296,0.5475296
0.6658337,0.6666049,0.6666049,0.6150499,0.6666049,0.6666049
0.5258461,0.5515899,0.5515899,0.5009632,0.5515899,0.5515899
0.1740144,0.1869515,0.1869515,0.195828,0.1869515,0.1869515
0.3580957,0.290607,0.290607,0.3914427,0.290607,0.290607
0.4894258,0.5070906,0.5070906,0.4825755,0.5070906,0.5070906
0.2872934,0.2933769,0.2933769,0.3180545,0.2933769,0.2933769
0.949774,0.9793292,0.9793292,0.9321519,0.9793292,0.9793292
0.2952092,0.3164876,0.3164876,0.3270285,0.3164876,0.3164876
0.3757646,0.3206984,0.3206984,0.3776373,0.3206984,0.3206984
0.4115316,0.4113084,0.4113084,0.3668871,0.4113084,0.4113084
0.1616896,0.1628311,0.1628311,0.2422757,0.1628311,0.1628311
0.5855813,0.5558175,0.5558175,0.5867941,0.5558175,0.5558175
0.5857189,0.6388638,0.6388638,0.5915976,0.6388638,0.6388638
0.7047512,0.6932001,0.6932001,0.5871724,0.6932001,0.6932001
0.1640136,0.1867172,0.1867172,0.21865,0.1867172,0.1867172
0.7974982,0.7375326,0.7375326,0.7794068,0.7375326,0.7375326
0.4616429,0.4291245,0.4291245,0.3953859,0.4291245,0.4291245
0.4929304,0.4615438,0.4615438,0.4801283,0.4615438,0.4615438
0.6440929,0.5883132,0.5883132,0.5776344,0.5883132,0.5883132
0.5096843,0.5873859,0.5873859,0.4681604,0.5873859,0.5873859
0.3019107,0.2682745,0.2682745,0.2829798,0.2682745,0.2682745
0.1300786,0.133535,0.133535,0.1607115,0.133535,0.133535
0.6219308,0.5414581,0.5414581,0.5823018,0.5414581,0.5414581
0.4933088,0.4546691,0.4546691,0.5162506,0.4546691,0.4546691
0.514993,0.4579356,0.4579356,0.4365956,0.4579356,0.4579356
0.1778353,0.197771,0.197771,0.2193221,0.197771,0.197771
0.2196641,0.227196,0.227196,0.2543295,0.227196,0.227196
0.5793346,0.5980851,0.5980851,0.5169734,0.5980851,0.5980851
0.1503886,0.1506898,0.1506898,0.1859277,0.1506898,0.1506898
0.197019,0.2020651,0.2020651,0.1937756,0.2020651,0.2020651
0.6037367,0.5393345,0.5393345,0.5703056,0.5393345,0.5393345
0.3515293,0.3503978,0.3503978,0.4218921,0.3503978,0.3503978
0.4523028,0.4062836,0.4062836,0.4861487,0.4062836,0.4062836
0.8689975,0.789053,0.789053,0.7362555,0.789053,0.789053
0.2183596,0.2202235,0.2202235,0.2302587,0.2202235,0.2202235
0.2010111,0.1820242,0.1820242,0.2907011,0.1820242,0.1820242
0.4291177,0.4683989,0.4683989,0.4409177,0.4683989,0.4683989
0.8752444,0.7816573,0.7816573,0.7551999,0.7816573,0.7816573
0.6855806,0.6862199,0.6862199,0.6771866,0.6862199,0.6862199
0.5363742,0.4865155,0.4865155,0.4411626,0.4865155,0.4865155
0.5489061,0.4632602,0.4632602,0.5132719,0.4632602,0.4632602
0.174906,0.168601,0.168601,0.2145404,0.168601,0.168601
0.409839,0.5247058,0.5247058,0.4324583,0.5247058,0.5247058
0.1350293,0.1483852,0.1483852,0.1813437,0.1483852,0.1483852
0.3015706,0.2664049,0.2664049,0.3689413,0.2664049,0.2664049
0.270486,0.290757,0.290757,0.2838043,0.290757,0.290757
0.4442449,0.4932314,0.4932314,0.4255034,0.4932314,0.4932314
0.4897053,0.4825205,0.4825205,0.4691294,0.4825205,0.4825205
0.519264,0.5692802,0.5692802,0.458349,0.5692802,0.5692802
0.1583124,0.1691928,0.1691928,0.2017822,0.1691928,0.1691928
0.742641,0.6717245,0.6717245,0.6860047,0.6717245,0.6717245
0.5742479,0.4845985,0.4845985,0.5863197,0.4845985,0.4845985
